"UNIDADES CENSALES, SEGÚN TIPO DE UNIDAD, POR ENTIDAD Y MUNICIPIO",,,,,,,CUADRO 1,
,,,,,,,,
ENTIDAD Y  MUNICIPIO ,, UNIDADES DE PRODUCCIÓN,,,, VIVIENDAS CON              ACTIVIDAD AGROPECUARIA, EJIDOS Y COMUNIDADES AGRARIAS,
,,RURALES ,,,URBANAS,,,
,, TOTAL, CON ACTIVIDAD AGROPECUARIA  O FORESTAL,SIN ACTIVIDAD AGROPECUARIA Y FORESTAL,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,SAN JUAN GUELAVIA,  423,  422,*,  5,  98,*,
,SAN JUAN GUICHICOVI, 3 427, 3 183,  244,  12, 1 016,  20,
,SAN JUAN IHUALTEPEC,  142,  141,*,*,  10,*,
,SAN JUAN JUQUILA MIXES,  776,  773,  3,-,-,*,
,SAN JUAN JUQUILA VIJANOS,  371,  371,-,*,  13,*,
,SAN JUAN LACHAO,  355,  353,*,  4,  39,*,
,SAN JUAN LACHIGALLA,  590,  525,  65,-,  10,  5,
,SAN JUAN LAJARCIA,  239,  239,-,*,-,*,
,SAN JUAN LALANA, 2 288, 2 278,  10,-,  328,  5,
,SAN JUAN DE LOS CUES,  617,  581,  36,  4,  19,*,
,SAN JUAN MAZATLAN, 2 972, 2 849,  123,-,  169,  22,
,SAN JUAN MIXTEPEC - DISTR. 08 -, 2 887, 2 004,  883,-,  14,*,
,SAN JUAN MIXTEPEC - DISTR. 26 -,  121,  120,*,-,  48,*,
,SAN JUAN ÑUMI,  967,  824,  143,-,-,  3,
,SAN JUAN OZOLOTEPEC,  609,  609,-,-,-,  4,
,SAN JUAN PETLAPA,  482,  482,-,-,  4,  6,
,SAN JUAN QUIAHIJE,  315,  315,-,  4,  7,*,
,SAN JUAN QUIOTEPEC,  386,  359,  27,*,  77,  5,
,SAN JUAN SAYULTEPEC,  198,  108,  90,*,  12,*,
,SAN JUAN TABAA,  242,  242,-,-,  33,*,
,SAN JUAN TAMAZOLA,  792,  751,  41,-,-,*,
,SAN JUAN TEITA,  165,  114,  51,-,*,*,
,SAN JUAN TEITIPAC,  617,  607,  10,-,  44,*,
,SAN JUAN TEPEUXILA,  644,  643,*,-,  14,  5,
,SAN JUAN TEPOSCOLULA,  275,  251,  24,-,  4,*,
,SAN JUAN YAE,  372,  367,  5,*,  84,  3,
,SAN JUAN YATZONA,  105,  105,-,-,-,*,
,SAN JUAN YUCUITA,  104,  89,  15,*,  14,*,
,SAN LORENZO,  647,  629,  18,-,  66,  3,
,SAN LORENZO ALBARRADAS,  592,  590,*,-,-,  4,
,SAN LORENZO CACAOTEPEC,  699,  673,  26,  24,  312,  3,
,SAN LORENZO CUAUNECUILTITLA,  150,  149,*,-,*,-,
,SAN LORENZO TEXMELUCAN,  670,  667,  3,-,  27,*,
,SAN LORENZO VICTORIA,  308,  308,-,  10,  100,  3,
,SAN LUCAS CAMOTLAN,  585,  585,-,-,-,*,
,SAN LUCAS OJITLAN, 1 952, 1 924,  28,  32,  530,  32,
,SAN LUCAS QUIAVINI,  336,  325,  11,*,  25,*,
,SAN LUCAS ZOQUIAPAM, 1 573, 1 322,  251,-,-,-,
,SAN LUIS AMATLAN,  729,  701,  28,-,  40,  3,
,SAN MARCIAL OZOLOTEPEC,  163,  160,  3,-,  88,-,
,SAN MARCOS ARTEAGA,  431,  269,  162,*,  133,  4,
,SAN MARTIN DE LOS CANSECOS,  224,  217,  7,*,  16,*,
,SAN MARTIN HUAMELULPAM,  358,  354,  4,-,  10,*,
,SAN MARTIN ITUNYOSO,  681,  681,-,-,-,*,
,SAN MARTIN LACHILA,  339,  195,  144,*,  57,*,
,SAN MARTIN PERAS, 1 520, 1 171,  349,*,*,*,
,SAN MARTIN TILCAJETE,  387,  385,*,*,  36,  3,
,SAN MARTIN TOXPALAN,  731,  656,  75,  5,  14,  3,
,SAN MARTIN ZACATEPEC,  196,  196,-,-,  27,*,
,SAN MATEO CAJONOS,  246,  239,  7,-,  28,*,
,CAPULALPAM DE MENDEZ,  95,  70,  25,  5,  126,*,
,SAN MATEO DEL MAR,  727,  710,  17,  15,  710,*,
,SAN MATEO YOLOXOCHITLAN,  431,  429,*,-,  15,-,
,SAN MATEO ETLATONGO,  232,  221,  11,-,  12,*,
,SAN MATEO NEJAPAM,  167,  164,  3,-,-,*,
,SAN MATEO PEÑASCO,  336,  329,  7,-,  5,*,
,SAN MATEO PIÑAS, 1 032,  965,  67,-,  36,-,
,SAN MATEO RIO HONDO,  482,  438,  44,*,  67,*,
,SAN MATEO SINDIHUI,  280,  280,-,  5,  12,*,
,SAN MATEO TLAPILTEPEC,  143,  83,  60,-,-,*,
,SAN MELCHOR BETAZA,  295,  293,*,*,  8,*,
,SAN MIGUEL ACHIUTLA,  503,  296,  207,-,-,*,
,SAN MIGUEL AHUEHUETITLAN,  404,  373,  31,*,  27,*,
,SAN MIGUEL ALOAPAM,  443,  441,*,*,  4,*,
,SAN MIGUEL AMATITLAN, 1 088,  988,  100,*,  82,  12,
,SAN MIGUEL AMATLAN,  226,  165,  61,  6,  57,-,
,SAN MIGUEL COATLAN,  426,  424,*,-,*,*,
,SAN MIGUEL CHICAHUA,  440,  440,-,-,-,*,
,SAN MIGUEL CHIMALAPA,  749,  730,  19,  4,  177,*,
,SAN MIGUEL DEL PUERTO, 1 593, 1 593,-,-,  67,  3,
,SAN MIGUEL DEL RIO,  49,  49,-,*,  16,-,
,SAN MIGUEL EJUTLA,  216,  191,  25,*,  20,*,
,SAN MIGUEL EL GRANDE, 1 148,  939,  209,*,-,*,
,SAN MIGUEL HUAUTLA,  438,  438,-,-,-,*,
,SAN MIGUEL MIXTEPEC,  317,  315,*,*,  27,*,
,SAN MIGUEL PANIXTLAHUACA,  493,  492,*,-,  20,*,
,SAN MIGUEL PERAS,  554,  549,  5,-,  27,*,
,SAN MIGUEL PIEDRAS,  219,  219,-,-,-,*,
,SAN MIGUEL QUETZALTEPEC, 1 059, 1 059,-,-,*,*,
,SAN MIGUEL SANTA FLOR,  77,  71,  6,-,-,*,
,VILLA SOLA DE VEGA, 1 422, 1 399,  23,*,  76,  3,
,NUEVO SOYALTEPEC, 2 257, 2 248,  9,  18, 1 709,  36,
,SAN MIGUEL SUCHIXTEPEC,  297,  283,  14,*,  67,-,
,SAN MIGUEL TALEA DE CASTRO,  573,  573,-,*,  130,  3,
,SAN MIGUEL TECOMATLAN,  114,  49,  65,*,  23,*,
,SAN MIGUEL TENANGO,  184,  184,-,-,  4,*,
,SAN MIGUEL TEQUIXTEPEC,  191,  185,  6,*,  6,*,
,SAN MIGUEL TILQUIAPAM,  340,  328,  12,-,  21,*,
,SAN MIGUEL TLACAMAMA,  458,  445,  13,  9,  116,  4,
,SAN MIGUEL TLACOTEPEC,  487,  352,  135,  4,  8,*,
,SAN MIGUEL TULANCINGO,  154,  146,  8,  3,  11,*,
,SAN MIGUEL YOTAO,  112,  112,-,-,-,*,
,SAN NICOLAS,  170,  169,*,*,  8,-,
,SAN NICOLAS HIDALGO,  219,  219,-,  5,  27,*,
,SAN PABLO COATLAN,  477,  476,*,-,  9,  3,
,SAN PABLO CUATRO VENADOS,  159,  159,-,-,*,*,
,SAN PABLO ETLA,  408,  346,  62,  20,  247,  3,
,SAN PABLO HUITZO,  521,  455,  66,  10,  368,*,
,SAN PABLO HUIXTEPEC, 1 101,  838,  263,  30,  547,*,
,SAN PABLO MACUILTIANGUIS,  263,  253,  10,  7,  44,*,
,SAN PABLO TIJALTEPEC,  510,  510,-,-,*,*,
,SAN PABLO VILLA DE MITLA,  873,  789,  84,  16,  509,  6,
,SAN PABLO YAGANIZA,  226,  226,-,-,  31,*,
,SAN PEDRO AMUZGOS,  813,  812,*,  3,  27,*,
,SAN PEDRO APOSTOL,  929,  771,  158,  7,  138,  4,
,SAN PEDRO ATOYAC,  477,  474,  3,-,  11,  3,
,SAN PEDRO CAJONOS,  353,  339,  14,*,  59,*,
,SAN PEDRO CANTAROS COXCALTEPEC,  245,  245,-,-,*,*,
,SAN PEDRO COMITANCILLO,  693,  650,  43,  35,  339,*,
,SAN PEDRO EL ALTO,  654,  652,*,-,  23,*,
,SAN PEDRO HUAMELULA, 1 090, 1 046,  44,-,  150,  4,
,SAN PEDRO HUILOTEPEC,  265,  236,  29,  8,  53,*,
,SAN PEDRO IXCATLAN,  726,  725,*,  21,  309,  8,
,SAN PEDRO IXTLAHUACA,  460,  336,  124,-,-,*,
,SAN PEDRO JALTEPETONGO,  131,  70,  61,-,-,*,
,SAN PEDRO JICAYAN, 1 053, 1 017,  36,  4,  165,*,
,SAN PEDRO JOCOTIPAC,  260,  235,  25,-,  6,*,
,SAN PEDRO JUCHATENGO,  154,  151,  3,  4,  45,*,
,SAN PEDRO MARTIR,  353,  348,  5,*,  22,*,
,SAN PEDRO MARTIR QUIECHAPA,  143,  142,*,-,  27,*,
,SAN PEDRO MARTIR YUCUXACO,  233,  222,  11,-,-,*,
,SAN PEDRO MIXTEPEC - DISTR. 22 -, 1 066, 1 055,  11,  10,  113,*,
,SAN PEDRO MIXTEPEC - DISTR. 26 -,  194,  194,-,-,  31,*,
,SAN PEDRO MOLINOS,  190,  171,  19,-,  3,*,
,SAN PEDRO NOPALA,  214,  177,  37,-,  23,*,
,SAN PEDRO OCOPETATILLO,  202,  201,*,-,  5,*,
,SAN PEDRO OCOTEPEC,  369,  369,-,-,*,*,
,SAN PEDRO POCHUTLA, 1 819, 1 725,  94,  51,  356,*,
,SAN PEDRO QUIATONI, 2 314, 2 298,  16,-,  88,*,
,SAN PEDRO SOCHIAPAM,  986,  986,-,-,-,  5,
,SAN PEDRO TAPANATEPEC, 1 087, 1 061,  26,  23,  606,  4,
,SAN PEDRO TAVICHE,  174,  161,  13,*,  3,*,
,SAN PEDRO TEOZACOALCO,  226,  226,-,*,  23,*,
,SAN PEDRO TEUTILA,  448,  440,  8,-,  9,  3,
,SAN PEDRO TIDAA,  238,  238,-,  5,  15,*,
,SAN PEDRO TOPILTEPEC,  162,  117,  45,-,  40,*,
,SAN PEDRO TOTOLAPA,  364,  360,  4,  11,  204,  3,
,SAN PEDRO TUTUTEPEC, 2 657, 2 503,  154,  48,  679,  5,
,SAN PEDRO YANERI,  219,  219,-,*,  15,*,
,SAN PEDRO YOLOX,  476,  447,  29,*,  93,  5,
,SAN PEDRO Y SAN PABLO AYUTLA, 1 407, 1 377,  30,  3,  41,*,
,VILLA DE ETLA,  297,  233,  64,  7,  194,*,
,SAN PEDRO Y SAN PABLO TEPOSCOLULA,  478,  449,  29,  5,  70,  6,
,SAN PEDRO Y SAN PABLO TEQUIXTEPEC,  937,  903,  34,*,  52,  9,
,SAN PEDRO YUCUNAMA,  66,  61,  5,-,-,*,
,SAN RAYMUNDO JALPAN,  318,  304,  14,*,  52,*,
,SAN SEBASTIAN ABASOLO,  415,  403,  12,-,  16,*,
,SAN SEBASTIAN COATLAN,  583,  583,-,*,-,*,
,SAN SEBASTIAN IXCAPA,  590,  580,  10,  8,  157,  8,
,SAN SEBASTIAN NICANANDUTA,  413,  360,  53,*,-,*,
,SAN SEBASTIAN RIO HONDO,  346,  342,  4,*,  23,  3,
,SAN SEBASTIAN TECOMAXTLAHUACA, 1 535, 1 201,  334,  10,  50,  3,
,SAN SEBASTIAN TEITIPAC,  310,  309,*,-,  21,*,
,SAN SEBASTIAN TUTLA,  222,  210,  12,*,  72,*,
,SAN SIMON ALMOLONGAS,  346,  335,  11,*,  42,*,
,SAN SIMON ZAHUATLAN,  196,  190,  6,-,  7,*,
,SANTA ANA,  652,  628,  24,-,  22,  3,
,SANTA ANA ATEIXTLAHUACA,  124,  121,  3,-,  20,-,
,SANTA ANA CUAUHTEMOC,  232,  189,  43,-,*,*,
,SANTA ANA DEL VALLE,  318,  309,  9,*,  96,*,
,SANTA ANA TAVELA,  699,  695,  4,-,  15,  3,
,SANTA ANA TLAPACOYAN,  596,  521,  75,  9,  107,*,
,SANTA ANA YARENI,  207,  206,*,-,  25,*,
,SANTA ANA ZEGACHE,  541,  527,  14,*,  21,*,
,SANTA CATALINA QUIERI,  176,  176,-,-,  16,*,
,SANTA CATARINA CUIXTLA,  283,  276,  7,*,  91,*,
,SANTA CATARINA IXTEPEJI,  480,  397,  83,  6,  61,*,
,SANTA CATARINA JUQUILA, 1 564, 1 558,  6,  3,  87,  6,
,SANTA CATARINA LACHATAO,  510,  275,  235,  12,  58,*,
,SANTA CATARINA LOXICHA,  686,  686,-,-,-,*,
,SANTA CATARINA MECHOACAN,  541,  541,-,*,  33,*,
,SANTA CATARINA MINAS,  257,  253,  4,  4,  67,*,
,SANTA CATARINA QUIANE,  429,  386,  43,-,  17,*,
,SANTA CATARINA TAYATA,  252,  234,  18,-,  17,*,
,SANTA CATARINA TICUA,  276,  271,  5,-,*,*,
,SANTA CATARINA YOSONOTU,  492,  487,  5,*,*,*,
,SANTA CATARINA ZAPOQUILA,  157,  151,  6,  4,  20,*,
,SANTA CRUZ ACATEPEC,  312,  214,  98,-,-,-,
,SANTA CRUZ AMILPAS,  4,  4,-,-,  32,*,
,SANTA CRUZ DE BRAVO,  136,  132,  4,  4,  37,-,
,SANTA CRUZ ITUNDUJIA, 1 488, 1 487,*,*,-,  3,
,SANTA CRUZ MIXTEPEC,  579,  493,  86,  9,  66,  4,
,SANTA CRUZ NUNDACO,  583,  550,  33,-,-,*,
,SANTA CRUZ PAPALUTLA,  362,  362,-,-,  14,*,
,SANTA CRUZ TACACHE DE MINA,  256,  231,  25,  17,  129,*,
,SANTA CRUZ TACAHUA,  298,  298,-,-,-,*,
,SANTA CRUZ TAYATA,  230,  225,  5,-,*,*,
,SANTA CRUZ XITLA,  546,  545,*,*,  85,*,
,SANTA CRUZ XOXOCOTLAN, 1 009,  847,  162,  15,  683,  5,
,SANTA CRUZ ZENZONTEPEC, 2 103, 2 102,*,-,-,*,
,SANTA GERTRUDIS,  976,  968,  8,  9,  149,  4,
,SANTA INES DEL MONTE,  354,  347,  7,  3,  12,*,
,SANTA INES YATZECHE,  208,  203,  5,  5,  42,-,
,SANTA LUCIA DEL CAMINO,  178,  164,  14,  4,  508,*,
,SANTA LUCIA MIAHUATLAN,  321,  320,*,-,  7,*,
,SANTA LUCIA MONTEVERDE, 1 849, 1 775,  74,-,*,  6,
,SANTA LUCIA OCOTLAN,  435,  417,  18,*,  68,*,
,SANTA MARIA ALOTEPEC,  761,  761,-,-,-,  3,
,SANTA MARIA APAZCO,  737,  725,  12,*,  52,*,
,SANTA MARIA LA ASUNCION,  426,  356,  70,-,  25,-,
,HEROICA CIUDAD DE TLAXIACO, 2 953, 2 580,  373,  6,  471,  6,
,AYOQUEZCO DE ALDAMA, 1 604, 1 252,  352,  39,  253,*,
,SANTA MARIA ATZOMPA,  519,  352,  167,  19,  243,*,
,SANTA MARIA CAMOTLAN,  148,  127,  21,  34,  43,*,
,SANTA MARIA COLOTEPEC, 1 059, 1 058,*,  3,  58,*,
,SANTA MARIA CORTIJO,  256,  235,  21,-,  10,*,
,SANTA MARIA COYOTEPEC,  131,  124,  7,  3,  41,*,
,SANTA MARIA CHACHOAPAM,  143,  131,  12,-,  21,*,
,SANTA MARIA CHILAPA DE DIAZ,  326,  260,  66,  4,  50,  4,
,SANTA MARIA CHILCHOTLA, 4 024, 3 970,  54,*,  29,  3,
,SANTA MARIA CHIMALAPA, 1 100, 1 075,  25,  3,  68,  8,
,SANTA MARIA DEL ROSARIO,  155,  149,  6,-,  5,*,
,SANTA MARIA DEL TULE,  380,  372,  8,  5,  240,  3,
,SANTA MARIA ECATEPEC, 1 583, 1 563,  20,  3,  37,  16,
,SANTA MARIA GUELACE,  23,  22,*,*,  20,-,
,SANTA MARIA GUIENAGATI,  440,  439,*,-,  27,*,
,SANTA MARIA HUATULCO, 1 261, 1 231,  30,-,  335,*,
,SANTA MARIA HUAZOLOTITLAN, 1 384, 1 305,  79,  12,  172,  6,
,SANTA MARIA IPALAPA,  703,  703,-,*,  31,  3,
,SANTA MARIA IXCATLAN,  49,  45,  4,  4,  62,*,
,SANTA MARIA JACATEPEC, 1 114, 1 094,  20,  3,  260,  17,
,SANTA MARIA JALAPA DEL MARQUES,  559,  515,  44,  22,  482,*,
,SANTA MARIA JALTIANGUIS,  142,  101,  41,  9,  41,*,
,SANTA MARIA LACHIXIO,  141,  141,-,-,-,*,
,SANTA MARIA MIXTEQUILLA,  326,  313,  13,*,  95,*,
,SANTA MARIA NATIVITAS,  189,  158,  31,*,  26,*,
,SANTA MARIA NDUAYACO,  225,  209,  16,-,  3,  3,
,SANTA MARIA OZOLOTEPEC,  525,  473,  52,*,  49,*,
,SANTA MARIA PAPALO,  383,  383,-,*,  14,*,
,SANTA MARIA PEÑOLES, 1 162, 1 133,  29,-,-,  4,
,SANTA MARIA PETAPA,  715,  697,  18,  65,  662,*,
,SANTA MARIA QUIEGOLANI,  330,  322,  8,-,-,*,
,SANTA MARIA SOLA,  358,  345,  13,  3,  40,  3,
,SANTA MARIA TATALTEPEC,  173,  171,*,-,-,*,
,SANTA MARIA TECOMAVACA,  585,  428,  157,  5,-,*,
,SANTA MARIA TEMAXCALAPA,  191,  191,-,-,  3,*,
,SANTA MARIA TEMAXCALTEPEC,  295,  234,  61,  3,  67,*,
,SANTA MARIA TEOPOXCO,  866,  766,  100,-,  4,*,
,SANTA MARIA TEPANTLALI,  592,  577,  15,-,  23,*,
,SANTA MARIA TEXCATITLAN,  189,  139,  50,-,  14,*,
,SANTA MARIA TLAHUITOLTEPEC, 1 842, 1 842,-,-,-,*,
,SANTA MARIA TLALIXTAC,  345,  217,  128,*,  10,-,
,SANTA MARIA TONAMECA, 1 826, 1 802,  24,-,  47,*,
,SANTA MARIA TOTOLAPILLA,  272,  247,  25,-,  8,*,
,SANTA MARIA XADANI,  318,  308,  10,  12,  334,-,
,SANTA MARIA YALINA,  63,  63,-,-,  15,*,
,SANTA MARIA YAVESIA,  103,  102,*,  3,  19,-,
,SANTA MARIA YOLOTEPEC,  179,  179,-,-,*,*,
,SANTA MARIA YOSOYUA,  266,  257,  9,-,  3,*,
,SANTA MARIA YUCUHITI, 1 225, 1 168,  57,-,  20,*,
,SANTA MARIA ZACATEPEC, 2 224, 2 203,  21,  11,  40,*,
,SANTA MARIA ZANIZA,  142,  142,-,-,  8,*,
,SANTA MARIA ZOQUITLAN,  569,  562,  7,  13,  148,*,
,SANTIAGO AMOLTEPEC, 1 797, 1 795,*,-,-,*,
,SANTIAGO APOALA,  384,  384,-,-,  8,*,
,SANTIAGO APOSTOL,  684,  391,  293,*,  178,-,
,SANTIAGO ASTATA,  288,  284,  4,-,  154,*,
,SANTIAGO ATITLAN,  491,  491,-,-,-,*,
,SANTIAGO AYUQUILILLA,  204,  179,  25,-,  30,*,
,SANTIAGO CACALOXTEPEC,  217,  147,  70,*,  115,*,
,SANTIAGO CAMOTLAN,  653,  653,-,-,  39,  5,
,SANTIAGO COMALTEPEC,  355,  317,  38,*,  79,*,
,SANTIAGO CHAZUMBA,  671,  665,  6,  15,  143,  13,
,SANTIAGO CHOAPAM,  766,  764,*,  8,  64,  6,
,SANTIAGO DEL RIO,  376,  236,  140,  7,  41,  3,
,SANTIAGO HUAJOLOTITLAN,  811,  631,  180,  7,  150,  6,
,SANTIAGO HUAUCLILLA,  210,  205,  5,-,  10,  4,
,SANTIAGO IHUITLAN PLUMAS,  63,  47,  16,-,-,*,
,SANTIAGO IXCUINTEPEC,  288,  286,*,-,-,*,
,SANTIAGO IXTAYUTLA, 1 250, 1 237,  13,-,  71,  7,
,SANTIAGO JAMILTEPEC, 1 641, 1 625,  16,  11,  478,  6,
,SANTIAGO JOCOTEPEC, 1 768, 1 663,  105,  5,  205,  22,
,SANTIAGO JUXTLAHUACA, 5 327, 3 581, 1 746,  15,  541,  9,
,SANTIAGO LACHIGUIRI, 1 330, 1 325,  5,-,  21,  4,
,SANTIAGO LALOPA,  112,  108,  4,-,  28,*,
,SANTIAGO LAOLLAGA,  404,  341,  63,  9,  146,*,
,SANTIAGO LAXOPA,  345,  345,-,*,  23,  3,
,SANTIAGO LLANO GRANDE,  479,  479,-,  14,  113,  3,
,SANTIAGO MATATLAN,  822,  807,  15,  6,  86,  4,
,SANTIAGO MILTEPEC,  60,  47,  13,  9,  35,-,
,SANTIAGO MINAS,  229,  229,-,*,  6,*,
,SANTIAGO NACALTEPEC,  497,  462,  35,  4,  119,  5,
,SANTIAGO NEJAPILLA,  110,  110,-,-,  3,*,
,SANTIAGO NUNDICHE,  231,  205,  26,-,  11,*,
,SANTIAGO NUYOO,  660,  655,  5,-,*,*,
,SANTIAGO PINOTEPA NACIONAL, 3 339, 2 945,  394,  82, 1 509,  22,
,SANTIAGO SUCHILQUITONGO,  880,  736,  144,  4,  339,  6,
,SANTIAGO TAMAZOLA,  289,  281,  8,  3,  80,*,
,SANTIAGO TAPEXTLA,  623,  584,  39,*,  28,  3,
,VILLA TEJUPAM DE LA UNION,  634,  507,  127,  4,  84,*,
,SANTIAGO TENANGO,  362,  338,  24,*,  17,*,
,SANTIAGO TEPETLAPA,  39,  31,  8,*,  4,*,
,SANTIAGO TETEPEC,  881,  869,  12,*,  70,  6,
,SANTIAGO TEXCALCINGO,  554,  444,  110,-,*,*,
,SANTIAGO TEXTITLAN,  400,  400,-,-,  7,*,
,SANTIAGO TILANTONGO,  980,  932,  48,-,  10,*,
,SANTIAGO TILLO,  255,  144,  111,-,  19,*,
,SANTIAGO TLAZOYALTEPEC,  794,  790,  4,-,-,*,
,SANTIAGO XANICA,  733,  732,*,-,  27,*,
,SANTIAGO XIACUI,  301,  295,  6,*,  50,  3,
,SANTIAGO YAITEPEC,  377,  371,  6,-,  27,*,
,SANTIAGO YAVEO, 1 139, 1 084,  55,-,  215,  5,
,SANTIAGO YOLOMECATL,  370,  246,  124,-,-,-,
,SANTIAGO YOSONDUA, 1 732, 1 578,  154,*,  90,  3,
,SANTIAGO YUCUYACHI,  320,  318,*,  9,  96,  3,
,SANTIAGO ZACATEPEC, 1 589, 1 589,-,  5,-,  3,
,SANTIAGO ZOOCHILA,  85,  85,-,-,-,*,
,NUEVO ZOQUIAPAM,  257,  257,-,  4,  25,*,
,SANTO DOMINGO INGENIO, 1 298,  850,  448,  32,  144,*,
,SANTO DOMINGO ALBARRADAS,  211,  211,-,-,  13,*,
,SANTO DOMINGO ARMENTA,  531,  527,  4,  7,  43,*,
,SANTO DOMINGO CHIHUITAN,  183,  179,  4,  9,  66,*,
,SANTO DOMINGO DE MORELOS,  994,  986,  8,-,  34,*,
,SANTO DOMINGO IXCATLAN,  329,  329,-,-,-,*,
,SANTO DOMINGO NUXAA,  560,  557,  3,-,  5,*,
,SANTO DOMINGO OZOLOTEPEC,  185,  184,*,-,  23,*,
,SANTO DOMINGO PETAPA, 1 350, 1 214,  136,*,  124,*,
,SANTO DOMINGO ROAYAGA,  175,  175,-,-,-,*,
,SANTO DOMINGO TEHUANTEPEC, 2 074, 1 946,  128,  23, 1 323,  17,
,SANTO DOMINGO TEOJOMULCO,  661,  661,-,-,  85,*,
,SANTO DOMINGO TEPUXTEPEC,  966,  953,  13,*,  20,*,
,SANTO DOMINGO TLATAYAPAM,  47,  41,  6,-,  4,*,
,SANTO DOMINGO TOMALTEPEC,  378,  352,  26,-,  78,  3,
,SANTO DOMINGO TONALA,  916,  912,  4,  29,  385,  5,
,SANTO DOMINGO TONALTEPEC,  225,  205,  20,*,  4,*,
,SANTO DOMINGO XAGACIA,  347,  345,*,-,  37,*,
,SANTO DOMINGO YANHUITLAN,  375,  341,  34,  6,  62,  3,
,SANTO DOMINGO YODOHINO,  142,  115,  27,-,  29,-,
,SANTO DOMINGO ZANATEPEC,  964,  948,  16,  41,  423,  7,
,SANTOS REYES NOPALA, 1 281, 1 276,  5,*,  120,  4,
,SANTOS REYES PAPALO,  428,  428,-,-,-,*,
,SANTOS REYES TEPEJILLO,  395,  274,  121,*,  10,*,
,SANTOS REYES YUCUNA,  313,  311,*,-,-,*,
,SANTO TOMAS JALIEZA,  527,  523,  4,*,  14,  7,
,SANTO TOMAS MAZALTEPEC,  337,  278,  59,*,  45,*,
,SANTO TOMAS OCOTEPEC,  813,  807,  6,  5,  5,*,
,SANTO TOMAS TAMAZULAPAM,  276,  270,  6,*,  18,-,
,SAN VICENTE COATLAN,  623,  612,  11,*,  39,*,
,SAN VICENTE LACHIXIO,  394,  391,  3,-,-,  3,
,SAN VICENTE NUÑU,  294,  267,  27,-,  4,*,
,SILACAYOAPAM, 1 368, 1 258,  110,  3,  69,  8,
,SITIO DE XITLAPEHUA,  199,  197,*,-,-,-,
,SOLEDAD ETLA,  429,  310,  119,  28,  190,*,
,VILLA DE TAMAZULAPAM DEL PROGRESO,  667,  419,  248,  11,  233,*,
,TANETZE DE ZARAGOZA,  395,  395,-,*,  75,*,
,TANICHE,  233,  180,  53,-,  31,*,
,TATALTEPEC DE VALDES,  674,  651,  23,-,-,*,
,TEOCOCUILCO DE MARCOS PEREZ,  253,  251,*,-,  12,*,
,TEOTITLAN DE FLORES MAGON,  700,  562,  138,  61,  394,*,
,TEOTITLAN DEL VALLE,  455,  410,  45,  3,  222,*,
,TEOTONGO,  293,  239,  54,  5,  32,*,
,TEPELMEME VILLA DE MORELOS,  284,  262,  22,  8,  53,*,
,TEZOATLAN DE SEGURA Y LUNA, 2 200, 2 009,  191,  7,  302,  9,
,SAN JERONIMO TLACOCHAHUAYA,  524,  503,  21,  8,  175,  3,
,TLACOLULA DE MATAMOROS,  849,  821,  28,  28,  448,  7,
,TLACOTEPEC PLUMAS,  87,  82,  5,-,  20,*,
,TLALIXTAC DE CABRERA,  282,  259,  23,  9,  209,*,
,TOTONTEPEC VILLA DE MORELOS, 1 377, 1 300,  77,-,-,  11,
,TRINIDAD ZAACHILA,  427,  412,  15,-,  30,  4,
,"TRINIDAD VISTA HERMOSA, LA",  85,  83,*,  4,*,*,
,UNION HIDALGO,  474,  337,  137,  9,  267,-,
,VALERIO TRUJANO,  150,  100,  50,  11,  48,*,
,SAN JUAN BAUTISTA VALLE NACIONAL, 2 946, 2 866,  80,  10,  500,  25,
,VILLA DIAZ ORDAZ, 1 130,  986,  144,  5,  216,  4,
,YAXE,  244,  239,  5,*,  32,*,
,MAGDALENA YODOCONO DE PORFIRIO DIAZ,  185,  166,  19,  3,  57,-,
,YOGANA,  322,  322,-,*,  25,*,
,YUTANDUCHI DE GUERRERO,  282,  282,-,*,  14,*,
,VILLA DE ZAACHILA, 2 002, 1 991,  11,  11,  559,  4,
,ZAPOTITLAN DEL RIO,  202,  188,  14,*,  8,*,
,ZAPOTITLAN LAGUNAS,  535,  517,  18,-,-,*,
,ZAPOTITLAN PALMAS,  257,  231,  26,*,  24,*,
,SANTA INES DE ZARAGOZA,  419,  416,  3,-,  3,*,
,ZIMATLAN DE ALVAREZ, 1 554, 1 364,  190,  11,  199,  5,
PUEBLA,, 469 689, 333 296, 136 393, 3 164, 84 564, 1 148,
,ACAJETE, 5 566, 4 609,  957,  15,  674,  9,
,ACATENO, 1 065,  760,  305,  14,  571,*,
,ACATLAN, 3 867, 3 020,  847,  56, 1 167,  18,
,ACATZINGO, 2 399, 2 021,  378,  28, 1 022,  11,
,ACTEOPAN,  568,  391,  177,*,  40,  4,
,AHUACATLAN, 3 540, 2 962,  578,*,  180,*,
,AHUATLAN,  430,  356,  74,  19,  163,*,
,AHUAZOTEPEC, 1 214, 1 062,  152,-,  288,  6,
,AHUEHUETITLA,  123,  104,  19,  6,  179,-,
,AJALPAN, 4 660, 4 527,  133,  31,  972,  10,
,ALBINO ZERTUCHE,  179,  140,  39,  21,  100,-,
,ALJOJUCA, 1 495, 1 093,  402,*,  211,  5,
