"UNIDADES CENSALES, SEGÚN TIPO DE UNIDAD, POR ENTIDAD Y MUNICIPIO",,,,,,,CUADRO 1,
,,,,,,,,
ENTIDAD Y  MUNICIPIO ,, UNIDADES DE PRODUCCIÓN,,,, VIVIENDAS CON              ACTIVIDAD AGROPECUARIA, EJIDOS Y COMUNIDADES AGRARIAS,
,,RURALES ,,,URBANAS,,,
,, TOTAL, CON ACTIVIDAD AGROPECUARIA  O FORESTAL,SIN ACTIVIDAD AGROPECUARIA Y FORESTAL,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"MAGDALENA CONTRERAS, LA",  860,  833,  27,  50, 3 289,  4,
,MILPA ALTA, 5 251, 4 581,  670,  249, 2 651,  9,
,ALVARO OBREGON,  842,  771,  71,  51, 1 763,  5,
,TLAHUAC, 5 280, 4 914,  366,  191, 5 314,  7,
,TLALPAN, 2 664, 2 240,  424,  134, 1 925,  10,
,XOCHIMILCO, 3 562, 2 807,  755,  574, 8 488,  4,
,BENITO JUAREZ,-,-,-,-,*,-,
,CUAUHTEMOC,-,-,-,-,*,-,
,MIGUEL HIDALGO,-,-,-,*,*,-,
,VENUSTIANO CARRANZA,-,-,-,*,  4,-,
DURANGO,, 91 464, 84 210, 7 254, 1 415, 40 811, 1 083,
,CANATLAN, 6 018, 5 467,  551,  22,  992,  40,
,CANELAS,  649,  622,  27,  4,  113,  4,
,CONETO DE COMONFORT,  731,  700,  31,  3,  10,  8,
,CUENCAME, 4 383, 3 898,  485,  68, 1 208,  28,
,DURANGO, 9 336, 7 972, 1 364,  70, 8 381,  115,
,GENERAL SIMON BOLIVAR, 1 871, 1 805,  66,  7,  523,  22,
,GOMEZ PALACIO, 6 162, 5 810,  352,  34, 4 805,  100,
,GUADALUPE VICTORIA, 3 786, 3 556,  230,  71, 1 312,  9,
,GUANACEVI, 1 418, 1 308,  110,  8,  382,  37,
,HIDALGO, 1 014,  981,  33,  18,  290,  19,
,INDE, 1 279, 1 183,  96,  14,  344,  12,
,LERDO, 2 332, 2 194,  138,  363, 4 956,  32,
,MAPIMI, 2 259, 1 857,  402,  28, 1 023,  71,
,MEZQUITAL, 2 741, 2 599,  142,  17,  595,  20,
,NAZAS, 1 615, 1 591,  24,  44,  980,  25,
,NOMBRE DE DIOS, 3 166, 2 501,  665,  47,  921,  20,
,OCAMPO, 1 494, 1 342,  152,  67,  592,  24,
,"ORO, EL", 1 759, 1 600,  159,  29,  729,  24,
,OTAEZ,  613,  612,*,  5,  85,  9,
,PANUCO DE CORONADO, 2 153, 2 004,  149,  23,  659,  17,
,PEÑON BLANCO, 1 225, 1 119,  106,  55,  666,  5,
,POANAS, 2 405, 2 235,  170,  114, 1 308,  20,
,PUEBLO NUEVO, 2 333, 2 308,  25,  33, 1 251,  20,
,RODEO, 1 668, 1 644,  24,  8,  491,  29,
,SAN BERNARDO, 1 266, 1 194,  72,  8,  114,  23,
,SAN DIMAS, 2 129, 2 012,  117,  39, 1 236,  47,
,SAN JUAN DE GUADALUPE, 1 266, 1 180,  86,  4,  221,  21,
,SAN JUAN DEL RIO, 2 293, 2 152,  141,  16,  350,  21,
,SAN LUIS DEL CORDERO,  475,  447,  28,  6,  119,*,
,SAN PEDRO DEL GALLO,  581,  525,  56,  3,  35,  10,
,SANTA CLARA, 1 161, 1 146,  15,  16,  209,  5,
,SANTIAGO PAPASQUIARO, 4 545, 4 262,  283,  26, 1 189,  62,
,SUCHIL,  934,  792,  142,  4,  200,  9,
,TAMAZULA, 4 219, 4 195,  24,  5,  261,  48,
,TEPEHUANES, 1 363, 1 324,  39,  11,  468,  16,
,TLAHUALILO, 2 266, 2 170,  96,  66, 1 759,  58,
,TOPIA,  903,  857,  46,  4,  343,  14,
,VICENTE GUERRERO, 1 216, 1 060,  156,  37,  838,  7,
,NUEVO IDEAL, 4 437, 3 986,  451,  18,  853,  30,
GUANAJUATO,, 146 533, 136 370, 10 163, 1 816, 69 583, 1 485,
,ABASOLO, 4 530, 3 996,  534,  13, 1 907,  44,
,ACAMBARO, 5 260, 4 933,  327,  127, 3 323,  69,
,ALLENDE, 5 239, 5 080,  159,  11, 1 940,  56,
,APASEO EL ALTO, 2 496, 2 412,  84,  6, 1 354,  25,
,APASEO EL GRANDE, 2 435, 2 369,  66,  33, 1 354,  33,
,ATARJEA,  740,  738,*,-,  41,  12,
,CELAYA, 4 610, 4 297,  313,  91, 4 005,  39,
,MANUEL DOBLADO, 3 316, 3 221,  95,  53, 1 805,  34,
,COMONFORT, 2 750, 2 643,  107,  70, 1 914,  27,
,CORONEO, 1 165, 1 123,  42,  14,  574,*,
,CORTAZAR, 1 906, 1 784,  122,  29, 1 341,  22,
,CUERAMARO, 1 883, 1 840,  43,  25,-,  16,
,DOCTOR MORA, 1 628, 1 388,  240,  15,  755,  6,
,DOLORES HIDALGO, 6 006, 5 206,  800,*, 2 994,  48,
,GUANAJUATO, 2 944, 2 506,  438,  6, 1 648,  29,
,HUANIMARO, 1 541, 1 512,  29,  27,  906,  25,
,IRAPUATO, 6 608, 6 359,  249,  151, 2 838,  77,
,JARAL DEL PROGRESO, 1 500, 1 426,  74,  104, 2 111,  15,
,JERECUARO, 5 169, 4 845,  324,  30, 2 063,  40,
,LEON, 5 052, 4 711,  341,  86, 2 358,  51,
,MOROLEON, 1 084,  791,  293,  37,  364,  7,
,OCAMPO, 1 964, 1 869,  95,  7,  181,  16,
,PENJAMO, 10 220, 9 754,  466,  80,-,  156,
,PUEBLO NUEVO,  823,  768,  55,  16,  210,  7,
,PURISIMA DEL RINCON, 1 598, 1 336,  262,  41, 1 172,  10,
,ROMITA, 3 644, 3 359,  285,  42, 1 250,  50,
,SALAMANCA, 4 581, 4 376,  205,  14, 2 386,  51,
,SALVATIERRA, 5 250, 5 098,  152,  89, 3 389,  50,
,SAN DIEGO DE LA UNION, 2 354, 2 226,  128,  9, 1 435,  33,
,SAN FELIPE, 8 798, 8 237,  561,  29, 1 875,  72,
,SAN FRANCISCO DEL RINCON, 2 966, 2 691,  275,  7,  870,  25,
,SAN JOSE ITURBIDE, 2 505, 2 230,  275,  9, 2 416,  3,
,SAN LUIS DE LA PAZ, 3 990, 3 568,  422,  18, 3 098,  23,
,SANTA CATARINA,  632,  582,  50,*,  174,*,
,SANTA CRUZ DE JUVENTINO ROSAS, 2 299, 2 194,  105,  14,  987,  22,
,SANTIAGO MARAVATIO,  682,  660,  22,  52,  531,  8,
,SILAO, 4 596, 3 861,  735,  105, 1 922,  60,
,TARANDACUAO,  908,  876,  32,  23,  791,  4,
,TARIMORO, 2 315, 2 140,  175,  64, 2 403,  15,
,TIERRA BLANCA, 1 365, 1 273,  92,  9,  695,  3,
,URIANGATO, 1 041,  799,  242,  51,  884,  9,
,VALLE DE SANTIAGO, 6 962, 6 547,  415,  46, 2 389,  95,
,VICTORIA, 1 760, 1 576,  184,  6,  581,  14,
,VILLAGRAN, 1 363, 1 350,  13,  29, 1 087,  13,
,XICHU, 1 765, 1 752,  13,  5,  145,  14,
,YURIRIA, 4 290, 4 068,  222,  118, 3 117,  54,
GUERRERO,, 218 795, 200 810, 17 985, 2 961, 82 277, 1 223,
,ACAPULCO DE JUAREZ, 10 902, 9 015, 1 887,  815, 27 993,  42,
,AHUACUOTZINGO, 3 324, 3 195,  129,-,  231,  29,
,AJUCHITLAN DEL PROGRESO, 4 271, 3 886,  385,  73,  615,  35,
,ALCOZAUCA DE GUERRERO, 2 232, 2 228,  4,  8,  50,  12,
,ALPOYECA,  486,  482,  4,  6,  100,  5,
,APAXTLA,  815,  798,  17,  20,  972,  4,
,ARCELIA, 2 586, 2 500,  86,  38, 1 227,  27,
,ATENANGO DEL RIO,  997,  913,  84,  19,  332,  14,
,ATLAMAJALCINGO DEL MONTE,  765,  765,-,-,-,  5,
,ATLIXTAC, 2 681, 2 640,  41,*,  86,  5,
,ATOYAC DE ALVAREZ, 6 483, 6 104,  379,  81, 1 141,  35,
,AYUTLA DE LOS LIBRES, 5 751, 5 384,  367,  16,  275,  26,
,AZOYU, 3 623, 3 255,  368,  25,  747,  14,
,BENITO JUAREZ, 1 472, 1 397,  75,  40,  662,  5,
,BUENAVISTA DE CUELLAR,  720,  584,  136,  33,  726,  7,
,COAHUAYUTLA DE JOSE MARIA IZAZAGA, 2 401, 1 980,  421,  4,  417,  34,
,COCULA, 1 917, 1 731,  186,  46,  839,  17,
,COPALA,  877,  867,  10,  7,  220,  4,
,COPALILLO, 1 552, 1 239,  313,  4,  153,  9,
,COPANATOYAC, 2 540, 2 336,  204,  3,  85,  8,
,COYUCA DE BENITEZ, 6 443, 5 991,  452,  32, 1 532,  33,
,COYUCA DE CATALAN, 5 094, 4 648,  446,  24,  805,  56,
,CUAJINICUILAPA, 3 238, 2 760,  478,  96, 1 182,  13,
,CUALAC,  981,  891,  90,  3,  25,*,
