"NÚMERO Y EXISTENCIAS EN VIVIENDAS Y UNIDADES DE PRODUCCIÓN CON GANADO BOVINO,",,,,,,,,,CUADRO 11A,,
"SEGÚN EDAD Y SEXO, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,EDAD,,,,,
,,,,TOTAL,,MENORES DE 1 AÑO,,DE 1 A 3 AÑOS,,,
,,,,,,MACHOS Y HEMBRAS,,MACHOS Y HEMBRAS,,,
,,,,NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),,
,,,,,,,,,,,
,,,,,,,,,,,
,MAZATAN,,,  446, 10 801,  252, 2 146,  286, 3 149,,
,METAPA,,,  124, 1 995,  83,  476,  72,  517,,
,MITONTIC,,,  129,  269,  21,  28,  20,  39,,
,MOTOZINTLA,,,  423, 1 915,  173,  300,  183,  393,,
,NICOLAS RUIZ,,,  133,  682,  50,  111,  30,  83,,
,OCOSINGO,,, 6 742, 102 106, 3 838, 17 807, 3 958, 23 532,,
,OCOTEPEC,,,  160, 1 393,  97,  289,  80,  245,,
,OCOZOCOAUTLA DE ESPINOSA,,, 1 830, 33 290, 1 010, 7 411,  889, 7 735,,
,OSTUACAN,,,  774, 29 338,  556, 6 146,  524, 8 921,,
,OSUMACINTA,,,  157, 1 373,  99,  287,  100,  347,,
,OXCHUC,,,  158,  435,  28,  40,  19,  31,,
,PALENQUE,,, 3 895, 163 119, 2 713, 31 240, 2 716, 43 529,,
,PANTELHO,,,  289, 3 289,  117,  455,  127,  522,,
,PANTEPEC,,,  268, 3 904,  166,  888,  188, 1 067,,
,PICHUCALCO,,,  834, 42 708,  622, 9 883,  521, 12 053,,
,PIJIJIAPAN,,, 2 632, 99 586, 2 099, 25 786, 1 718, 24 125,,
,"PORVENIR, EL",,,  100,  289,  29,  38,  35,  60,,
,VILLA COMALTITLAN,,,  583, 17 769,  437, 4 225,  370, 4 979,,
,PUEBLO NUEVO SOLISTAHUACAN,,,  300, 3 853,  166,  693,  178, 1 025,,
,RAYON,,,  175, 2 162,  99,  514,  89,  486,,
,REFORMA,,,  638, 33 201,  469, 7 506,  419, 10 041,,
,"ROSAS, LAS",,,  257, 2 240,  114,  424,  98,  386,,
,SABANILLA,,,  374, 5 163,  165,  733,  169, 1 804,,
,SALTO DE AGUA,,, 2 499, 49 167, 1 526, 9 626, 1 563, 12 685,,
,SAN CRISTOBAL DE LAS CASAS,,,  505, 2 741,  130,  332,  129,  308,,
,SAN FERNANDO,,,  458, 5 760,  239, 1 150,  220, 1 312,,
,SILTEPEC,,,  681, 3 720,  291,  595,  274,  655,,
,SIMOJOVEL,,,  620, 5 496,  266,  816,  326, 1 300,,
,SITALA,,,  37,  840,  13,  101,  19,  214,,
,SOCOLTENANGO,,,  370, 5 145,  199,  996,  157,  983,,
,SOLOSUCHIAPA,,,  301, 7 279,  219, 1 985,  182, 1 597,,
,SOYALO,,,  258, 1 534,  92,  235,  85,  220,,
,SUCHIAPA,,,  417, 4 039,  127,  642,  125,  689,,
,SUCHIATE,,,  263, 7 062,  172, 1 410,  161, 2 020,,
,SUNUAPA,,,  115, 7 860,  85, 1 346,  87, 3 085,,
,TAPACHULA,,,  568, 13 970,  343, 2 766,  329, 4 112,,
,TAPALAPA,,,  180, 2 407,  134,  589,  135,  807,,
,TAPILULA,,,  181, 3 154,  114,  795,  92,  780,,
,TECPATAN,,, 2 095, 50 804, 1 540, 11 998, 1 386, 12 962,,
,TENEJAPA,,,  795, 1 749,  225,  360,  391,  609,,
,TEOPISCA,,,  509, 3 281,  151,  398,  213,  643,,
,TILA,,,  826, 8 313,  442, 1 489,  464, 1 836,,
,TONALA,,, 2 541, 74 145, 2 062, 21 119, 1 580, 18 784,,
,TOTOLAPA,,,  182, 1 750,  95,  416,  63,  288,,
,"TRINITARIA, LA",,, 2 884, 29 215,  887, 5 173,  974, 5 383,,
,TUMBALA,,,  283, 4 088,  171,  789,  186,  976,,
,TUXTLA GUTIERREZ,,,  470, 4 257,  145,  801,  134,  868,,
,TUXTLA CHICO,,,  351, 3 879,  178,  822,  184, 1 151,,
,TUZANTAN,,,  154, 3 837,  96,  922,  96, 1 145,,
,TZIMOL,,,  488, 5 709,  215,  854,  195, 1 035,,
,UNION JUAREZ,,,  18,  50,*,  2,  8,  12,,
,VENUSTIANO CARRANZA,,,  995, 13 929,  401, 2 401,  336, 2 502,,
,VILLA CORZO,,, 2 103, 49 156, 1 323, 11 435, 1 195, 11 040,,
,VILLAFLORES,,, 2 252, 42 992, 1 188, 9 529, 1 002, 8 984,,
,YAJALON,,,  68, 1 789,  44,  419,  50,  407,,
,SAN LUCAS,,,  172,  826,  51,  107,  49,  144,,
,ZINACANTAN,,,  140,  874,  54,  108,  46,  111,,
,SAN JUAN CANCUC,,,  315,  515,*,  4,  19,  29,,
CHIHUAHUA,,,, 60 062,1 942 086, 38 567, 434 621, 36 561, 391 099,,
,AHUMADA,,,  482, 74 356,  336, 20 152,  289, 15 974,,
,ALDAMA,,,  902, 56 357,  575, 13 522,  532, 9 478,,
,ALLENDE,,,  665, 22 663,  382, 5 335,  404, 4 354,,
,AQUILES SERDAN,,,  60, 3 331,  38,  848,  33,  521,,
,ASCENSION,,,  479, 48 867,  341, 14 183,  305, 5 774,,
,BACHINIVA,,,  869, 14 896,  520, 2 841,  502, 3 521,,
,BALLEZA,,, 1 261, 38 645,  813, 6 750,  781, 8 439,,
,BATOPILAS,,,  727, 8 957,  391, 1 439,  334, 1 489,,
,BOCOYNA,,, 1 204, 9 849,  630, 1 745,  566, 1 797,,
,BUENAVENTURA,,, 1 176, 77 134,  719, 17 404,  716, 15 164,,
,CAMARGO,,,  972, 91 022,  645, 23 220,  595, 18 346,,
,CARICHI,,, 1 085, 19 019,  752, 3 431,  749, 4 078,,
,CASAS GRANDES,,, 1 109, 39 223,  777, 8 767,  710, 7 400,,
,CORONADO,,,  394, 24 194,  250, 6 106,  240, 6 045,,
,COYAME,,,  276, 51 543,  196, 13 241,  199, 5 694,,
,"CRUZ, LA",,,  244, 5 947,  125, 1 185,  116, 1 110,,
,CUAUHTEMOC,,, 4 536, 83 337, 2 685, 19 313, 2 548, 19 081,,
,CUSIHUIRIACHI,,, 1 012, 19 490,  613, 4 032,  644, 4 491,,
,CHIHUAHUA,,, 2 367, 100 738, 1 449, 23 192, 1 434, 19 599,,
,CHINIPAS,,,  747, 14 655,  592, 3 132,  560, 3 296,,
,DELICIAS,,,  429, 31 885,  169, 4 825,  169, 13 218,,
,DOCTOR BELISARIO DOMINGUEZ,,,  891, 20 898,  639, 4 480,  639, 4 575,,
,GALEANA,,,  492, 20 741,  355, 4 418,  329, 3 377,,
,GENERAL TRIAS,,,  650, 14 237,  425, 2 802,  382, 2 772,,
