"NÚMERO Y EXISTENCIAS EN VIVIENDAS Y UNIDADES DE PRODUCCIÓN CON GANADO BOVINO,",,,,,,,,,CUADRO 11A,,
"SEGÚN EDAD Y SEXO, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,EDAD,,,,,
,,,,TOTAL,,MENORES DE 1 AÑO,,DE 1 A 3 AÑOS,,,
,,,,,,MACHOS Y HEMBRAS,,MACHOS Y HEMBRAS,,,
,,,,NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),,
,,,,,,,,,,,
,,,,,,,,,,,
,COSAUTLAN DE CARVAJAL,,,  91,  783,  51,  142,  51,  200,,
,COSCOMATEPEC,,,  503, 3 972,  220,  736,  187,  874,,
,COSOLEACAQUE,,,  447, 6 511,  267, 1 326,  246, 1 473,,
,COTAXTLA,,, 1 089, 21 377,  614, 4 615,  550, 6 347,,
,COXQUIHUI,,,  149, 2 329,  66,  430,  74,  651,,
,COYUTLA,,,  429, 11 972,  225, 1 633,  203, 6 221,,
,CUICHAPA,,,  88,  293,  27,  37,  23,  41,,
,CUITLAHUAC,,,  353, 5 138,  148,  947,  133, 1 564,,
,CHACALTIANGUIS,,,  667, 12 273,  404, 2 577,  380, 3 028,,
,CHALMA,,,  667, 5 784,  390, 1 339,  282, 1 578,,
,CHICONAMEL,,,  381, 3 569,  199,  817,  175,  757,,
,CHICONQUIACO,,,  559, 3 492,  295,  815,  228,  811,,
,CHICONTEPEC,,, 2 963, 28 146, 1 404, 6 028, 1 186, 5 773,,
,CHINAMECA,,,  389, 9 541,  276, 1 925,  252, 2 249,,
,CHINAMPA DE GOROSTIZA,,,  286, 6 051,  173, 1 457,  157, 1 614,,
,"CHOAPAS, LAS",,, 2 708, 75 548, 1 803, 14 892, 1 790, 21 388,,
,CHOCAMAN,,,  176,  790,  80,  167,  68,  220,,
,CHONTLA,,,  731, 21 011,  457, 4 632,  436, 5 373,,
,CHUMATLAN,,,  38,  259,  12,  31,  10,  27,,
,EMILIANO ZAPATA,,,  650, 6 184,  320, 1 183,  318, 1 411,,
,ESPINAL,,,  354, 11 900,  217, 2 175,  162, 3 560,,
,FILOMENO MATA,,,  21,  506,  12,  77,  9,  155,,
,FORTIN,,,  154,  686,  46,  122,  39,  111,,
,GUTIERREZ ZAMORA,,,  220, 7 073,  145, 1 395,  127, 2 259,,
,HIDALGOTITLAN,,, 2 004, 36 977, 1 276, 8 251, 1 279, 10 277,,
,HUATUSCO,,,  222, 4 388,  139,  917,  106,  851,,
,HUAYACOCOTLA,,,  889, 6 473,  327,  867,  316, 1 115,,
,HUEYAPAN DE OCAMPO,,, 1 790, 19 556, 1 008, 4 080,  958, 4 455,,
,HUILOAPAN DE CUAUHTEMOC,,,  53,  202,  18,  37,  15,  32,,
,IGNACIO DE LA LLAVE,,, 1 346, 19 270,  841, 4 867,  809, 5 127,,
,ILAMATLAN,,,  251, 1 645,  129,  351,  150,  432,,
,ISLA,,, 1 373, 60 267, 1 016, 12 062,  968, 17 946,,
,IXCATEPEC,,,  602, 7 356,  370, 1 850,  302, 1 817,,
,IXHUACAN DE LOS REYES,,,  386, 2 821,  205,  603,  196,  768,,
,IXHUATLAN DEL CAFE,,,  56,  312,  27,  74,  26,  69,,
,IXHUATLANCILLO,,,  257, 1 364,  149,  373,  72,  228,,
,IXHUATLAN DEL SURESTE,,,  159, 4 431,  109,  930,  104, 1 163,,
,IXHUATLAN DE MADERO,,, 1 561, 16 395,  685, 3 005,  732, 4 096,,
,IXMATLAHUACAN,,,  318, 11 669,  233, 2 295,  225, 2 794,,
,IXTACZOQUITLAN,,,  282, 1 597,  110,  285,  91,  293,,
,JALACINGO,,,  611, 2 236,  260,  462,  233,  429,,
,XALAPA,,,  235, 1 639,  94,  275,  79,  342,,
,JALCOMULCO,,,  123,  761,  51,  106,  56,  124,,
,JALTIPAN,,,  619, 10 914,  389, 2 297,  362, 2 444,,
,JAMAPA,,,  527, 8 879,  314, 2 074,  284, 1 788,,
,JESUS CARRANZA,,, 2 135, 69 212, 1 558, 14 795, 1 452, 22 322,,
,XICO,,,  410, 4 705,  199,  710,  197, 1 421,,
,JILOTEPEC,,,  207, 1 110,  102,  223,  80,  231,,
,JUAN RODRIGUEZ CLARA,,, 1 927, 51 861, 1 423, 11 097, 1 292, 14 590,,
,JUCHIQUE DE FERRER,,,  388, 7 296,  275, 1 648,  232, 2 256,,
,LANDERO Y COSS,,,  138,  701,  81,  193,  46,  137,,
,LERDO DE TEJADA,,,  103, 3 044,  79,  663,  70,  748,,
,MAGDALENA,,,  7,  14,*,  4,*,  2,,
,MALTRATA,,,  234,  820,  92,  160,  50,  80,,
,MANLIO FABIO ALTAMIRANO,,,  931, 11 201,  507, 2 557,  411, 1 965,,
,MARIANO ESCOBEDO,,,  309, 1 516,  141,  343,  111,  253,,
,MARTINEZ DE LA TORRE,,,  467, 19 085,  309, 3 570,  289, 6 170,,
,MECATLAN,,,  18,  385,  9,  64,  12,  160,,
,MECAYAPAN,,,  939, 16 821,  596, 4 138,  511, 4 505,,
,MEDELLIN,,, 1 282, 25 193,  913, 6 303,  805, 6 412,,
,MIAHUATLAN,,,  268, 1 784,  140,  339,  139,  479,,
,"MINAS, LAS",,,  143,  542,  68,  105,  79,  156,,
,MINATITLAN,,, 3 437, 56 000, 2 012, 10 643, 1 999, 14 470,,
,MISANTLA,,, 1 531, 22 602,  986, 4 863,  860, 7 672,,
,MIXTLA DE ALTAMIRANO,,,  22,  168,  11,  23,  13,  33,,
,MOLOACAN,,,  528, 15 068,  377, 3 125,  355, 3 960,,
,NAOLINCO,,,  383, 3 457,  201,  734,  169,  778,,
,NARANJAL,,,  9,  40,  3,  3,  4,  8,,
,NAUTLA,,,  553, 18 305,  362, 3 904,  391, 6 729,,
,NOGALES,,,  209, 1 257,  92,  232,  52,  141,,
,OLUTA,,,  199, 5 880,  128, 1 009,  133, 2 030,,
,OMEALCA,,,  458, 2 431,  186,  431,  152,  482,,
,ORIZABA,,,  67,  830,  33,  193,  24,  137,,
,OTATITLAN,,,  83, 1 542,  36,  315,  28,  354,,
,OTEAPAN,,,  46, 1 141,  29,  158,  23,  481,,
,OZULUAMA,,, 2 318, 94 103, 1 861, 22 882, 1 741, 26 668,,
,PAJAPAN,,,  729, 8 515,  432, 1 877,  339, 1 717,,
,PANUCO,,, 3 867, 121 468, 2 876, 30 815, 2 525, 29 492,,
,PAPANTLA,,, 1 631, 53 525,  878, 9 442,  946, 22 286,,
,PASO DEL MACHO,,,  798, 7 698,  338, 1 483,  323, 1 707,,
,PASO DE OVEJAS,,,  938, 13 733,  500, 3 146,  394, 2 723,,
,"PERLA, LA",,,  299, 1 020,  99,  155,  115,  212,,
,PEROTE,,,  201,  721,  44,  83,  73,  160,,
,PLATON SANCHEZ,,,  536, 12 154,  277, 2 453,  268, 3 475,,
,PLAYA VICENTE,,, 2 884, 79 290, 1 824, 16 628, 1 823, 24 443,,
,POZA RICA DE HIDALGO,,,  33,  912,  24,  209,  20,  279,,
,"VIGAS DE RAMIREZ, LAS",,,  476, 2 490,  209,  430,  181,  540,,
,PUEBLO VIEJO,,,  475, 7 447,  303, 1 391,  290, 1 594,,
,PUENTE NACIONAL,,,  666, 10 571,  364, 2 103,  309, 2 154,,
,RAFAEL DELGADO,,,  61,  315,  26,  69,  17,  48,,
,RAFAEL LUCIO,,,  225, 1 960,  123,  376,  114,  452,,
,"REYES, LOS",,,  23,  112,  12,  27,  11,  20,,
,RIO BLANCO,,,  40,  494,  24,  77,  16,  140,,
,SALTABARRANCA,,,  189, 4 643,  139, 1 043,  131, 1 260,,
,SAN ANDRES TENEJAPAN,,,  6,  77,  4,  21,*,  5,,
,SAN ANDRES TUXTLA,,, 2 972, 38 097, 1 502, 7 699, 1 406, 9 560,,
,SAN JUAN EVANGELISTA,,, 2 427, 85 289, 1 672, 16 547, 1 734, 32 936,,
,SANTIAGO TUXTLA,,, 2 245, 32 255, 1 385, 7 464, 1 175, 8 824,,
,SAYULA DE ALEMAN,,, 1 466, 49 099,  985, 9 203,  993, 21 647,,
,SOCONUSCO,,,  321, 6 367,  196, 1 533,  184, 1 687,,
,SOCHIAPA,,,  10,  125,  7,  28,  6,  31,,
,SOLEDAD ATZOMPA,,,  83,  229,  16,  19,  12,  17,,
,SOLEDAD DE DOBLADO,,, 1 296, 17 010,  746, 3 643,  615, 3 584,,
,SOTEAPAN,,, 1 019, 10 086,  484, 2 093,  494, 2 019,,
,TAMALIN,,,  315, 11 896,  211, 2 784,  201, 3 251,,
,TAMIAHUA,,, 1 527, 32 170,  938, 6 964,  928, 8 406,,
,TAMPICO ALTO,,,  999, 28 898,  711, 6 291,  661, 7 007,,
,TANCOCO,,,  282, 6 132,  171, 1 435,  149, 1 643,,
,TANTIMA,,,  965, 19 943,  653, 4 561,  589, 5 318,,
,TANTOYUCA,,, 2 900, 56 083, 1 682, 12 167, 1 423, 17 744,,
,TATATILA,,,  239,  918,  109,  205,  116,  219,,
,CASTILLO DE TEAYO,,,  399, 12 265,  257, 2 861,  225, 3 198,,
,TECOLUTLA,,,  698, 24 137,  445, 4 478,  417, 8 507,,
,TEHUIPANGO,,,  103,  235,  14,  17,  12,  13,,
,TEMAPACHE,,, 1 243, 33 288,  786, 6 273,  680, 12 498,,
,TEMPOAL,,, 1 845, 54 380, 1 258, 12 934, 1 113, 16 035,,
,TENAMPA,,,  6,  56,  3,  3,  3,  24,,
,TENOCHTITLAN,,,  129, 1 064,  78,  190,  77,  372,,
,TEOCELO,,,  109, 1 635,  57,  238,  56,  581,,
,TEPATLAXCO,,,  51,  301,  22,  58,  30,  74,,
,TEPETLAN,,,  440, 2 678,  258,  663,  161,  460,,
,TEPETZINTLA,,,  476, 9 655,  296, 1 949,  294, 3 170,,
,TEQUILA,,,  17,  65,  7,  15,  6,  7,,
,JOSE AZUETA,,,  923, 17 138,  565, 3 524,  544, 3 906,,
,TEXCATEPEC,,,  567, 4 646,  281,  765,  263,  978,,
,TEXHUACAN,,,  60,  360,  21,  45,  25,  54,,
,TEXISTEPEC,,,  803, 23 198,  587, 5 165,  498, 5 715,,
,TEZONAPA,,,  295, 2 814,  159,  602,  145,  615,,
,TIERRA BLANCA,,, 3 627, 92 898, 2 738, 22 077, 2 281, 25 582,,
,TIHUATLAN,,, 1 032, 27 789,  640, 6 299,  551, 7 603,,
,TLACOJALPAN,,,  95, 1 821,  36,  211,  54,  429,,
,TLACOLULAN,,,  881, 4 473,  386,  869,  358,  959,,
,TLACOTALPAN,,,  918, 27 427,  598, 5 716,  540, 6 826,,
,TLACOTEPEC DE MEJIA,,,  46,  659,  26,  109,  22,  152,,
,TLACHICHILCO,,,  541, 6 712,  256, 1 173,  251, 1 655,,
,TLALIXCOYAN,,, 2 446, 56 198, 1 729, 12 796, 1 566, 15 518,,
,TLALNELHUAYOCAN,,,  187, 1 253,  110,  271,  89,  300,,
,TLAPACOYAN,,,  105, 4 998,  76, 1 110,  60, 1 215,,
,TLAQUILPAN,,,  290,  855,  71,  82,  77,  105,,
,TLILAPAN,,,  12,  64,  7,  14,  5,  21,,
,TOMATLAN,,,  95,  566,  43,  128,  28,  75,,
,TONAYAN,,,  382, 1 928,  231,  528,  121,  318,,
,TOTUTLA,,,  68,  960,  35,  169,  39,  265,,
,TUXPAM,,, 1 532, 39 356,  923, 9 380,  802, 11 549,,
,TUXTILLA,,,  139, 2 056,  78,  344,  73,  456,,
,URSULO GALVAN,,,  371, 3 579,  200,  745,  154,  802,,
,VEGA DE ALATORRE,,,  569, 18 655,  433, 4 767,  362, 5 682,,
,VERACRUZ,,,  639, 17 747,  427, 4 086,  375, 4 040,,
,VILLA ALDAMA,,,  152,  526,  52,  85,  50,  92,,
,XOXOCOTLA,,,  204,  813,  70,  93,  93,  139,,
,YANGA,,,  268,  889,  73,  126,  49,  89,,
,YECUATLAN,,,  254, 3 741,  155,  802,  139, 1 181,,
,ZACUALPAN,,,  615, 5 120,  272,  833,  271, 1 150,,
,ZARAGOZA,,,  56, 1 175,  29,  197,  38,  340,,
,ZENTLA,,,  254, 3 888,  155,  827,  128,  902,,
,ZONGOLICA,,,  152, 1 898,  83,  391,  105,  506,,
,ZONTECOMATLAN,,,  360, 3 292,  179,  629,  204,  784,,
,ZOZOCOLCO DE HIDALGO,,,  103, 1 896,  61,  338,  62,  431,,
,AGUA DULCE,,,  500, 11 736,  364, 2 506,  333, 2 984,,
,"HIGO, EL",,,  710, 23 276,  522, 5 720,  455, 6 723,,
,NANCHITAL DE LAZARO CARDENAS DEL R.,,,  12,  914,  11,  183,  5,  138,,
,TRES VALLES,,,  857, 19 933,  521, 4 246,  509, 5 763,,
YUCATAN,,,, 12 814, 359 837, 6 044, 69 505, 6 526, 103 815,,
,ABALA,,,  63, 1 603,  38,  272,  35,  415,,
,ACANCEH,,,  78,  592,  28,  145,  25,  142,,
,AKIL,,,  169,  604,  55,  98,  77,  143,,
,BACA,,,  98, 2 264,  60,  531,  66,  709,,
,BOKOBA,,,  28,  236,  15,  30,  17,  86,,
,BUCTZOTZ,,,  347, 20 358,  257, 4 594,  211, 5 746,,
,CACALCHEN,,,  83,  749,  41,  129,  39,  150,,
,CALOTMUL,,,  98, 2 108,  73,  495,  42,  425,,
,CANSAHCAB,,,  64, 1 034,  32,  183,  35,  228,,
,CANTAMAYEC,,,  61,  850,  29,  125,  36,  214,,
,CELESTUN,,,  18,  365,  6,  35,  9,  58,,
,CENOTILLO,,,  196, 11 333,  142, 2 219,  140, 3 989,,
,CONKAL,,,  76,  734,  23,  85,  30,  394,,
,CUNCUNUL,,,  17,  162,  8,  18,  4,  41,,
,CUZAMA,,,  58,  635,  26,  137,  24,  144,,
,CHACSINKIN,,,  31,  288,  11,  50,  6,  46,,
,CHANKOM,,,  94,  582,  27,  61,  62,  197,,
,CHAPAB,,,  86,  593,  34,  81,  35,  129,,
,CHEMAX,,,  260, 3 941,  112,  575,  122,  837,,
,CHICXULUB PUEBLO,,,  34,  905,  6,  270,  13,  319,,
,CHICHIMILA,,,  42,  370,  11,  42,  15,  127,,
,CHIKINDZONOT,,,  81,  353,  20,  38,  50,  113,,
,CHOCHOLA,,,  108, 1 692,  45,  220,  52,  370,,
,CHUMAYEL,,,  86,  599,  26,  119,  37,  116,,
,DZAN,,,  123,  530,  45,  93,  48,  120,,
,DZEMUL,,,  73, 1 406,  40,  242,  33,  183,,
,DZIDZANTUN,,,  83, 2 877,  62,  675,  55,  704,,
,DZILAM DE BRAVO,,,  68, 5 255,  53,  967,  50, 1 474,,
,DZILAM GONZALEZ,,,  234, 8 583,  176, 2 056,  129, 1 988,,
,DZITAS,,,  28,  574,  15,  69,  19,  171,,
,DZONCAUICH,,,  124, 2 539,  69,  572,  71,  751,,
,ESPITA,,,  130, 3 634,  72,  794,  73, 1 173,,
,HALACHO,,,  290, 1 273,  61,  209,  108,  269,,
,HOCABA,,,  79,  579,  31,  104,  30,  119,,
,HOCTUN,,,  27,  359,  13,  78,  10,  117,,
,HOMUN,,,  113,  984,  35,  120,  49,  260,,
,HUHI,,,  85, 1 449,  50,  264,  35,  311,,
,HUNUCMA,,,  71, 1 809,  35,  329,  40,  559,,
,IXIL,,,  53, 1 847,  29,  408,  34,  518,,
,IZAMAL,,,  263, 3 718,  128,  754,  119,  896,,
,KANASIN,,,  107, 1 687,  37,  222,  42,  475,,
,KANTUNIL,,,  96, 1 110,  32,  181,  40,  290,,
,KAUA,,,  30,  168,  7,  14,  15,  40,,
,KINCHIL,,,  127, 2 676,  75,  584,  71,  715,,
,KOPOMA,,,  115,  910,  46,  148,  35,  149,,
,MAMA,,,  83, 1 637,  35,  138,  47,  548,,
,MANI,,,  194,  843,  44,  109,  109,  319,,
,MAXCANU,,,  205, 2 822,  77,  462,  88,  622,,
,MAYAPAN,,,  49,  374,  21,  49,  26,  102,,
,MERIDA,,,  475, 6 860,  158, 1 331,  186, 1 301,,
,MOCOCHA,,,  48,  800,  28,  205,  23,  450,,
,MOTUL,,,  175, 1 620,  72,  331,  75,  331,,
,MUNA,,,  127, 1 847,  44,  315,  44,  534,,
,MUXUPIP,,,  69,  656,  18,  71,  44,  179,,
,OPICHEN,,,  105, 1 602,  32,  212,  38,  377,,
,OXKUTZCAB,,,  209, 2 493,  59,  353,  76,  630,,
,PANABA,,,  311, 31 900,  218, 6 161,  185, 9 904,,
,PETO,,,  155, 5 554,  67, 1 082,  72, 1 053,,
,PROGRESO,,,  58, 1 524,  25,  261,  43,  469,,
,QUINTANA ROO,,,  24,  421,  17,  89,  10,  56,,
,RIO LAGARTOS,,,  71, 7 399,  55, 1 399,  52, 2 344,,
,SACALUM,,,  57, 1 182,  26,  206,  27,  281,,
,SAMAHIL,,,  73, 1 342,  23,  151,  35,  623,,
,SANAHCAT,,,  52,  351,  24,  68,  18,  76,,
,SAN FELIPE,,,  118, 10 039,  94, 2 130,  89, 2 802,,
,SANTA ELENA,,,  31,  586,  19,  125,  17,  131,,
,SEYE,,,  57,  723,  19,  85,  32,  243,,
,SINANCHE,,,  70, 1 274,  40,  213,  43,  454,,
,SOTUTA,,,  176, 3 726,  86,  753,  86,  931,,
,SUCILA,,,  218, 12 832,  154, 2 395,  128, 4 371,,
,SUDZAL,,,  60, 2 820,  44,  544,  48,  866,,
,SUMA,,,  29,  776,  24,  221,  17,  193,,
,TAHDZIU,,,  31,  367,  14,  48,  10,  51,,
,TAHMEK,,,  29,  965,  14,  119,  11,  347,,
,TEABO,,,  115,  880,  31,  87,  53,  231,,
,TECOH,,,  127, 1 247,  38,  184,  49,  255,,
,TEKAL DE VENEGAS,,,  80, 3 073,  42,  638,  53,  963,,
,TEKANTO,,,  61,  614,  28,  139,  31,  118,,
,TEKAX,,,  430, 7 153,  145, 1 360,  196, 1 532,,
,TEKIT,,,  104, 3 548,  48,  427,  58,  680,,
,TEKOM,,,  39,  380,  16,  66,  25,  91,,
,TELCHAC PUEBLO,,,  44,  531,  25,  102,  29,  182,,
,TELCHAC PUERTO,,,  27,  558,  15,  100,  14,  94,,
,TEMAX,,,  171, 3 569,  102,  796,  96,  738,,
,TEMOZON,,,  279, 4 909,  131,  905,  171, 1 025,,
,TEPAKAN,,,  48,  742,  25,  112,  19,  224,,
,TETIZ,,,  41, 1 657,  25,  277,  31,  477,,
,TEYA,,,  27,  575,  20,  106,  20,  157,,
,TICUL,,,  167, 1 986,  51,  286,  59,  885,,
,TIMUCUY,,,  94,  852,  27,  180,  36,  192,,
,TINUM,,,  69,  836,  27,  111,  36,  210,,
,TIXCACALCUPUL,,,  40,  282,  13,  38,  21,  57,,
,TIXKOKOB,,,  128, 1 010,  48,  215,  55,  251,,
,TIXMEHUAC,,,  50,  638,  17,  87,  27,  119,,
,TIXPEHUAL,,,  100, 1 245,  45,  253,  41,  292,,
,TIZIMIN,,, 1 057, 90 594,  626, 18 458,  602, 29 613,,
,TUNKAS,,,  85, 4 830,  57,  821,  70, 1 363,,
,TZUCACAB,,,  328, 12 478,  182, 2 372,  191, 3 723,,
,UAYMA,,,  19,  159,  7,  18,  8,  28,,
,UCU,,,  50, 1 164,  29,  163,  29,  443,,
,UMAN,,,  264, 2 408,  76,  384,  91,  604,,
,VALLADOLID,,,  376, 5 226,  167,  681,  193, 1 036,,
,XOCCHEL,,,  40,  452,  21,  105,  16,  135,,
,YAXCABA,,,  292, 2 713,  121,  602,  174,  707,,
,YAXKUKUL,,,  43,  239,  19,  51,  20,  66,,
,YOBAIN,,,  65, 1 037,  33,  320,  45,  316,,
ZACATECAS,,,, 64 825, 973 357, 40 598, 208 284, 33 588, 220 315,,
,APOZOL,,,  502, 5 711,  324, 1 366,  294, 1 488,,
,APULCO,,,  529, 6 177,  381, 1 319,  325, 1 534,,
,ATOLINGA,,,  533, 10 350,  423, 2 463,  364, 2 997,,
,BENITO JUAREZ,,,  522, 9 025,  429, 2 137,  382, 2 673,,
,CALERA,,,  522, 6 605,  313, 1 113,  177,  852,,
,CAÑITAS DE FELIPE PESCADOR,,,  473, 6 049,  275, 1 116,  217, 1 078,,
,CONCEPCION DEL ORO,,,  381, 4 986,  229, 1 036,  167,  929,,
,CUAUHTEMOC,,,  600, 9 765,  275, 2 017,  246, 2 105,,
,CHALCHIHUITES,,, 1 106, 15 457,  727, 3 401,  632, 3 565,,
,FRESNILLO,,, 5 728, 78 622, 3 313, 15 781, 2 801, 17 389,,
,TRINIDAD GARCIA DE LA CADENA,,,  470, 9 822,  369, 2 306,  307, 2 681,,
,GENARO CODINA,,,  622, 8 007,  362, 1 565,  265, 1 725,,
,GENERAL ENRIQUE ESTRADA,,,  278, 2 828,  171,  697,  111,  548,,
,FRANCISCO R. MURGUIA,,, 2 334, 47 378, 1 511, 9 256, 1 215, 9 133,,
,GENERAL JOAQUIN AMARO,,,  575, 9 787,  441, 2 059,  367, 2 462,,
,GENERAL PANFILO NATERA,,,  984, 10 838,  460, 1 875,  377, 1 901,,
,GUADALUPE,,, 1 622, 17 098,  804, 3 246,  656, 4 023,,
,HUANUSCO,,,  635, 9 428,  444, 2 087,  378, 2 522,,
,JALPA,,, 1 151, 15 926,  757, 3 287,  613, 3 712,,
,JEREZ,,, 3 069, 29 416, 1 971, 6 724, 1 589, 7 003,,
,JIMENEZ DEL TEUL,,,  519, 10 291,  362, 2 404,  316, 2 382,,
,JUAN ALDAMA,,,  585, 8 711,  303, 1 511,  225, 1 389,,
,JUCHIPILA,,,  719, 10 726,  455, 2 298,  360, 2 199,,
,LORETO,,,  884, 7 058,  445, 1 300,  334, 1 458,,
,LUIS MOYA,,,  351, 3 972,  168,  736,  136,  849,,
,MAZAPIL,,, 1 624, 41 254, 1 138, 10 424,  865, 7 404,,
,MELCHOR OCAMPO,,,  151, 9 958,  90, 1 913,  76, 2 270,,
,MEZQUITAL DEL ORO,,,  449, 8 871,  370, 2 201,  329, 2 535,,
,MIGUEL AUZA,,, 1 075, 14 629,  636, 3 082,  532, 2 742,,
,MOMAX,,,  318, 4 892,  205, 1 062,  149, 1 009,,
,MONTE ESCOBEDO,,, 1 418, 36 305, 1 103, 9 162,  941, 9 213,,
,MORELOS,,,  400, 3 756,  200,  651,  163,  806,,
,MOYAHUA DE ESTRADA,,,  608, 15 224,  385, 3 351,  336, 3 667,,
,NOCHISTLAN DE MEJIA,,, 1 966, 22 726, 1 319, 5 273,  997, 5 539,,
,NORIA DE ANGELES,,,  488, 4 063,  288,  872,  179,  705,,
,OJOCALIENTE,,, 1 225, 11 058,  627, 2 097,  514, 2 149,,
,PANUCO,,,  453, 4 960,  224, 1 138,  209,  860,,
,PINOS,,, 3 211, 28 241, 1 843, 5 727, 1 413, 5 236,,
,RIO GRANDE,,, 1 905, 17 716,  926, 3 343,  766, 3 923,,
,SAIN ALTO,,, 1 149, 17 221,  663, 3 699,  512, 3 101,,
,"SALVADOR, EL",,,  311, 3 933,  143,  671,  120,  730,,
,SOMBRERETE,,, 4 149, 59 495, 2 574, 11 903, 2 195, 12 175,,
,SUSTICACAN,,,  188, 2 855,  148,  698,  110,  635,,
,TABASCO,,,  891, 11 321,  483, 2 082,  449, 2 607,,
,TEPECHITLAN,,,  893, 19 562,  666, 4 545,  639, 5 552,,
,TEPETONGO,,, 1 357, 19 853,  889, 4 351,  786, 4 635,,
,TEUL DE GONZALEZ ORTEGA,,, 1 036, 22 578,  696, 5 427,  581, 5 631,,
,TLALTENANGO DE SANCHEZ ROMAN,,, 1 263, 18 076,  924, 4 312,  768, 4 490,,
,VALPARAISO,,, 4 494, 87 459, 3 319, 19 981, 2 896, 20 688,,
,VETAGRANDE,,,  288, 2 665,  146,  493,  140,  630,,
,VILLA DE COS,,, 2 291, 64 334, 1 543, 12 952, 1 247, 18 010,,
,VILLA GARCIA,,,  569, 3 649,  306,  806,  230,  675,,
,VILLA GONZALEZ ORTEGA,,,  390, 5 998,  234, 1 221,  211, 1 308,,
,VILLA HIDALGO,,,  459, 2 360,  217,  483,  185,  459,,
,VILLANUEVA,,, 3 186, 44 678, 2 127, 9 349, 1 820, 10 267,,
,ZACATECAS,,,  926, 9 634,  454, 1 915,  376, 2 067,,
"VII Censo Agopecuario, 1991",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
