,"MÉDICOS POR CADA 1,000 HABITANTES A NIVEL MUNICIPAL, 2005-2009",,,,,LEER NOTA,,
07046,CHIAPAS,Jiquipilas,0.5,0.5,0.4,0.6,0.6,0.6
07047,CHIAPAS,Jitotol,0.2,0.2,0.2,0.2,0.2,0.2
07048,CHIAPAS,Juárez,1.0,1.0,0.3,0.3,0.5,0.4
07049,CHIAPAS,Larráinzar,0.6,0.6,0.4,1.1,2.2,2.2
07050,CHIAPAS,La Libertad,0.6,0.6,1.4,1.4,1.4,1.4
07051,CHIAPAS,Mapastepec,1.4,1.3,1.4,1.2,1.5,1.4
07052,CHIAPAS,Las Margaritas,0.7,0.6,0.9,1.0,1.0,1.0
07053,CHIAPAS,Mazapa de Madero,0.4,0.4,0.5,1.6,0.9,1.0
07054,CHIAPAS,Mazatán,0.5,0.5,0.4,0.4,0.8,0.5
07055,CHIAPAS,Metapa,0.2,0.2,0.2,0.2,0.2,0.2
07056,CHIAPAS,Mitontic,0.6,0.5,0.5,0.5,0.5,0.8
07057,CHIAPAS,Motozintla,1.1,1.0,1.0,1.1,0.9,1.0
07058,CHIAPAS,Nicolás Ruíz,0.3,0.2,0.0,0.2,0.2,0.2
07059,CHIAPAS,Ocosingo,0.7,0.7,0.6,0.6,0.7,0.7
07060,CHIAPAS,Ocotepec,0.2,0.2,0.2,0.3,0.3,0.3
07061,CHIAPAS,Ocozocoautla de Espinosa,0.7,0.7,0.8,0.7,0.8,0.9
07062,CHIAPAS,Ostuacán,0.5,0.5,0.2,0.2,0.4,0.3
07063,CHIAPAS,Osumacinta,0.3,0.3,0.3,0.3,0.3,0.3
07064,CHIAPAS,Oxchuc,0.5,0.5,0.6,0.6,0.6,0.6
07065,CHIAPAS,Palenque,1.1,1.1,1.1,1.0,1.1,1.0
07066,CHIAPAS,Pantelhó,0.4,0.4,0.5,0.4,0.6,0.6
07067,CHIAPAS,Pantepec,0.3,0.3,0.1,0.1,0.3,0.1
07068,CHIAPAS,Pichucalco,2.8,2.8,3.0,3.0,2.9,2.9
07069,CHIAPAS,Pijijiapan,0.8,0.7,0.4,0.4,0.6,0.4
07070,CHIAPAS,El Porvenir,0.3,0.3,0.3,0.5,1.0,1.1
07071,CHIAPAS,Villa Comaltitlán,0.3,0.3,0.4,0.4,0.3,0.3
07072,CHIAPAS,Pueblo Nuevo Solistahuacán,0.5,0.5,0.1,0.1,0.2,0.2
07073,CHIAPAS,Rayón,0.5,0.5,0.2,0.1,0.2,0.2
07074,CHIAPAS,Reforma,0.5,0.5,0.7,0.7,0.7,0.7
07075,CHIAPAS,Las Rosas,0.4,0.4,0.5,0.5,0.5,0.4
07076,CHIAPAS,Sabanilla,0.5,0.5,0.5,0.6,0.7,0.7
07077,CHIAPAS,Salto de Agua,0.7,0.7,0.6,0.6,0.7,0.6
07078,CHIAPAS,San Cristóbal de las Casas,1.4,1.4,1.5,1.4,1.4,1.4
07079,CHIAPAS,San Fernando,0.5,0.5,0.4,0.4,0.5,0.5
07080,CHIAPAS,Siltepec,0.7,0.7,0.7,1.1,0.7,0.7
07081,CHIAPAS,Simojovel,0.8,0.8,0.2,0.3,0.4,0.3
07082,CHIAPAS,Sitalá,0.4,0.4,0.4,0.5,0.5,0.6
07083,CHIAPAS,Socoltenango,0.4,0.4,1.0,1.0,1.1,1.1
07084,CHIAPAS,Solosuchiapa,0.3,0.3,0.1,1.0,1.1,1.0
07085,CHIAPAS,Soyaló,0.2,0.2,0.2,0.2,1.0,1.1
07086,CHIAPAS,Suchiapa,0.4,0.4,0.5,0.5,0.5,0.6
07087,CHIAPAS,Suchiate,0.5,0.4,0.7,0.6,0.7,0.7
07088,CHIAPAS,Sunuapa,0.5,0.5,0.5,0.5,0.5,0.4
07089,CHIAPAS,Tapachula,2.4,2.0,2.1,2.5,2.6,2.3
07090,CHIAPAS,Tapalapa,0.3,0.3,0.2,0.2,0.2,0.2
07091,CHIAPAS,Tapilula,0.7,0.6,1.4,1.6,1.3,1.3
07092,CHIAPAS,Tecpatán,1.0,0.9,0.6,0.9,1.0,1.0
07093,CHIAPAS,Tenejapa,0.3,0.3,0.3,0.3,0.4,0.4
07094,CHIAPAS,Teopisca,0.5,0.4,0.4,0.4,0.4,0.3
07096,CHIAPAS,Tila,0.4,0.5,0.3,0.3,0.4,0.4
07097,CHIAPAS,Tonalá,1.5,1.5,1.5,1.4,1.4,1.3
07098,CHIAPAS,Totolapa,0.3,0.3,0.3,0.3,0.3,0.2
07099,CHIAPAS,La Trinitaria,0.4,0.4,0.5,0.5,0.5,0.4
