,,UNIDADES DE PRODUCCIÓN RURALES CON SUPERFICIE AGRÍCOLA,,,,LM368_01,,,,,,
,,"POR ENTIDAD, MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,,,,,,,,
,,,,,,,,,,,,
,,"ENTIDAD,  MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,UNIDADES DE PRODUCCIÓN,SUPERFICIE AGRÍCOLA                                      (HA),,,,,,
,,,,,,,,,,,,
Ent,Mun,,,,,,,,,,,
,,,,,,,,,,,,
,,ESTADOS UNIDOS MEXICANOS,,,3 794 025,30 537 701.74,,,,,,
03,,,,MAS DE   20 HASTA   50 HA.,  124, 1 799.55,,,,,,
03,,,,MAS DE   50 HASTA  100 HA.,  91, 1 919.95,,,,,,
03,,,,MAS DE  100 HASTA 1000 HA.,  181, 7 282.71,,,,,,
03,,,,MAS DE 1000 HASTA 2500 HA.,  34, 1 414.40,,,,,,
03,,,,MAS DE 2500 HA.,  12,  314.89,,,,,,
03,008,,"CABOS, LOS",,  731, 2 413.99,,,,,,
03,,,,HASTA    2 HA.,  281,  369.37,,,,,,
03,,,,MAS DE    2 HASTA    5 HA.,  274,  793.33,,,,,,
03,,,,MAS DE    5 HASTA   20 HA.,  95,  539.84,,,,,,
03,,,,MAS DE   20 HASTA   50 HA.,  19,  293.26,,,,,,
03,,,,MAS DE   50 HASTA  100 HA.,  12,  181.37,,,,,,
03,,,,MAS DE  100 HASTA 1000 HA.,  40,  195.17,,,,,,
03,,,,MAS DE 1000 HASTA 2500 HA.,  10,  41.65,,,,,,
04,,CAMPECHE,,, 36 543, 745 955.94,,,,,,
04,,,,HASTA    2 HA., 8 318, 10 651.79,,,,,,
04,,,,MAS DE    2 HASTA    5 HA., 6 487, 21 591.67,,,,,,
04,,,,MAS DE    5 HASTA   20 HA., 7 081, 62 408.89,,,,,,
04,,,,MAS DE   20 HASTA   50 HA., 9 271, 164 153.89,,,,,,
04,,,,MAS DE   50 HASTA  100 HA., 3 576, 115 911.94,,,,,,
04,,,,MAS DE  100 HASTA 1000 HA., 1 686, 263 907.56,,,,,,
04,,,,MAS DE 1000 HASTA 2500 HA.,  93, 56 838.71,,,,,,
04,,,,MAS DE 2500 HA.,  31, 50 491.50,,,,,,
04,001,,CALKINI,, 2 538, 8 681.63,,,,,,
04,,,,HASTA    2 HA., 1 780, 1 985.99,,,,,,
04,,,,MAS DE    2 HASTA    5 HA.,  567, 1 744.25,,,,,,
04,,,,MAS DE    5 HASTA   20 HA.,  137, 1 034.57,,,,,,
04,,,,MAS DE   20 HASTA   50 HA.,  27,  737.88,,,,,,
04,,,,MAS DE   50 HASTA  100 HA.,  15,  773.41,,,,,,
04,,,,MAS DE  100 HASTA 1000 HA.,  12, 2 405.54,,,,,,
04,002,,CAMPECHE,, 4 157, 42 776.99,,,,,,
04,,,,HASTA    2 HA., 1 514, 1 787.49,,,,,,
04,,,,MAS DE    2 HASTA    5 HA., 1 083, 3 452.57,,,,,,
04,,,,MAS DE    5 HASTA   20 HA.,  999, 6 875.22,,,,,,
04,,,,MAS DE   20 HASTA   50 HA.,  348, 3 638.01,,,,,,
04,,,,MAS DE   50 HASTA  100 HA.,  64, 2 134.19,,,,,,
04,,,,MAS DE  100 HASTA 1000 HA.,  134, 16 614.50,,,,,,
04,,,,MAS DE 1000 HASTA 2500 HA.,  10, 4 561.00,,,,,,
04,,,,MAS DE 2500 HA.,  5, 3 714.00,,,,,,
04,003,,CARMEN,, 7 620, 319 695.62,,,,,,
04,,,,HASTA    2 HA.,  147,  148.47,,,,,,
