"UNIDADES DE PRODUCCIÓN URBANAS, Y RURALES CON SUPERFICIE AGRÍCOLA, SEGÚN DESTINO",,,,,,,,CUADRO 10,,,
"DE LA PRODUCCIÓN AGRÍCOLA, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,UNIDADES DE PRODUCCIÓN,DESTINO DE LA PRODUCCIÓN,,,NO REPORTARON PRODUCCIÓN,,,
,,,,,SÓLO AUTOCONSUMO,VENTA,,,,,
,,,,,,SÓLO LOCAL O NACIONAL,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,VILLA COMALTITLAN,,, 2 277,  377, 1 578,  9,  313,,,
,PUEBLO NUEVO SOLISTAHUACAN,,, 2 006,  882, 1 107,*,  15,,,
,RAYON,,,  638,  454,  141,-,  43,,,
,REFORMA,,,  790,  211,  251,-,  328,,,
,"ROSAS, LAS",,, 1 735, 1 022,  701,*,  11,,,
,SABANILLA,,, 2 753,  897, 1 822,*,  33,,,
,SALTO DE AGUA,,, 4 899, 2 467, 2 107,  5,  320,,,
,SAN CRISTOBAL DE LAS CASAS,,, 2 305, 1 813,  366,-,  126,,,
,SAN FERNANDO,,, 1 939, 1 109,  697,  87,  46,,,
,SILTEPEC,,, 3 910, 1 074, 2 827,  5,  4,,,
,SIMOJOVEL,,, 3 745,  561, 3 169,*,  13,,,
,SITALA,,, 1 012,  431,  574,*,  6,,,
,SOCOLTENANGO,,, 1 992,  362, 1 604,*,  24,,,
,SOLOSUCHIAPA,,,  525,  244,  156,-,  125,,,
,SOYALO,,,  918,  507,  393,-,  18,,,
,SUCHIAPA,,, 1 282,  391,  862,-,  29,,,
,SUCHIATE,,, 1 107,  123,  844,  25,  115,,,
,SUNUAPA,,,  284,  126,  102,-,  56,,,
,TAPACHULA,,, 6 832, 1 714, 4 662,  88,  368,,,
,TAPALAPA,,,  371,  176,  171,-,  24,,,
,TAPILULA,,,  852,  425,  389,-,  38,,,
,TECPATAN,,, 3 847, 1 699, 1 270,  4,  874,,,
,TENEJAPA,,, 4 418, 2 092, 2 309,-,  17,,,
,TEOPISCA,,, 2 718, 1 436, 1 117,-,  165,,,
,TILA,,, 7 300, 1 931, 5 331,  7,  31,,,
,TONALA,,, 3 392, 1 179,  938,-, 1 275,,,
,TOTOLAPA,,,  643,  110,  531,-,*,,,
,"TRINITARIA, LA",,, 8 246, 1 960, 6 240,  3,  43,,,
,TUMBALA,,, 2 894,  389, 2 493,*,  11,,,
,TUXTLA GUTIERREZ,,, 1 060,  437,  594,-,  29,,,
,TUXTLA CHICO,,, 3 153,  834, 2 180,-,  139,,,
