"SUPERFICIE DE UNIDADES DE PRODUCCIîN RURALES, SEGòN RƒGIMEN",,,,,,,CUADRO 5
"DE TENENCIA DE LA TIERRA, POR ENTIDAD Y MUNICIPIO",,,,,,,
,,,,,,,
ENTIDAD Y  MUNICIPIO,, SUPERFICIE TOTAL  (HA) ,  TENENCIA DE LA TIERRA,,,,
,,,EJIDAL  (HA), COMUNAL  (HA),PRIVADA  (HA) ,  COLONIA (HA) , PUBLICA  (HA)
,,,,,,,
,,,,,,,
,CALIHUALA,922.83,684.58,143.5,94.75,-,-
,CANDELARIA LOXICHA, 12 405.39,-, 8 811.19, 3 594.20,-,-
,CIENEGA DE ZIMATLAN (LA CIENEGA), 5 606.51, 2 102.90,-, 3 503.61,-,-
,CIUDAD IXTEPEC, 3 706.37,2, 3 704.37,-,-,-
,COATECAS ALTAS, 16 093.02, 3 011.02, 4 431.00, 8 651.00,-,-
,COICOYAN DE LAS FLORES, 1 951.86,-, 1 951.86,-,-,-
,"COMPA„IA, LA", 3 268.63, 3 131.13,-,137.5,-,-
,CONCEPCION BUENAVISTA, 1 179.65,714.65,461.5,3.5,-,-
,CONCEPCION PAPALO, 2 110.64,-, 1 496.43,614.22,-,-
,CONSTANCIA DEL ROSARIO,927.2,762.82,164.38,-,-,-
,COSOLAPA, 9 137.14, 3 577.00,-, 5 525.14,35,-
,COSOLTEPEC,691.68,57.38,634.3,-,-,-
,CUILAPAM DE GUERRERO, 3 045.80,844.62,98.48, 2 102.70,-,-
,CUYAMECALCO VILLA DE ZARAGOZA, 8 331.92, 1 204.32,-, 7 127.60,-,-
,CHAHUITES, 1 410.56, 1 410.56,-,-,-,-
,CHALCATONGO DE HIDALGO, 4 032.52,-, 1 049.27, 2 983.25,-,-
,SAN JUAN CHIQUIHUITLAN, 1 724.55,-,-, 1 724.55,-,-
,EJUTLA DE CRESPO, 10 496.23, 6 306.58,697.75, 3 491.90,-,-
,ELOXOCHITLAN DE FLORES MAGON, 2 622.86,-,-, 2 622.86,-,-
,"ESPINAL, EL", 4 182.53,-,-, 4 182.53,-,-
,TAMAZULAPAM DEL ESPIRITU SANTO, 7 510.07,-, 7 510.07,-,-,-
,FRESNILLO DE TRUJANO, 2 141.83,357.5,324, 1 460.33,-,-
,GUADALUPE ETLA, 1 468.20,128.39,-, 1 339.82,-,-
,GUADALUPE RAMIREZ,748.5,412,189.5,147,-,-
,GUELATAO DE JUAREZ,71.48,-,71.48,-,-,-
,GUEVEA DE HUMBOLDT, 15 417.87,-, 15 417.87,-,-,-
,MESONES HIDALGO, 1 132.13, 1 132.13,-,-,-,-
,VILLA HIDALGO, 1 011.72,-,-, 1 011.72,-,-
,HUAJUAPAM DE LEON, 9 642.91,336.91, 4 822.06, 4 483.94,-,-
,HUAUTEPEC, 6 221.40,-,-, 6 221.40,-,-
,HUAUTLA DE JIMENEZ, 9 185.18,-,-, 9 184.10,-,1.08
,IXTLAN DE JUAREZ, 3 587.72,-, 3 587.72,-,-,-
,JUCHITAN DE ZARAGOZA, 68 666.49, 9 421.37,523.45, 58 721.67,-,-
,LOMA BONITA, 75 055.78, 34 293.35,-, 40 762.42,-,-
,MAGDALENA APASCO, 2 016.42,638.78,135.2, 1 242.45,-,-
,MAGDALENA JALTEPEC, 6 922.18,-, 6 922.18,-,-,-
,SANTA MAGDALENA JICOTLAN,81.81,-,81.81,-,-,-
,MAGDALENA MIXTEPEC,545.51,-,545.51,-,-,-
,MAGDALENA OCOTLAN,845,845,-,-,-,-
,MAGDALENA PE„ASCO,660.98,-,660.98,-,-,-
,MAGDALENA TEITIPAC, 1 008.50,-,129.21,879.3,-,-
,MAGDALENA TEQUISISTLAN, 1 039.78,-, 1 039.78,-,-,-
,MAGDALENA TLACOTEPEC, 3 098.09,-, 3 098.09,-,-,-
,MAGDALENA ZAHUATLAN,325.51,-,325.51,-,-,-
,MARISCALA DE JUAREZ, 7 984.06, 2 399.95,-, 5 584.12,-,-
,MARTIRES DE TACUBAYA, 2 424.32, 2 424.32,-,-,-,-
,MATIAS ROMERO, 109 678.11, 36 020.86, 28 941.02, 44 716.24,-,-
,MAZATLAN VILLA DE FLORES, 6 701.00,-,-, 6 697.50,-,3.5
,MIAHUATLAN DE PORFIRIO DIAZ, 9 411.13,721.21, 1 438.16, 7 251.77,-,-
,MIXISTLAN DE LA REFORMA,813.5,-,813.5,-,-,-
,MONJAS,821.51,-,-,821.51,-,-
,NATIVIDAD,83.23,-,-,83.23,-,-
,NAZARENO ETLA,218.63,218.63,-,-,-,-
,NEJAPA DE MADERO, 7 861.39, 4 032.14, 2 679.80, 1 149.45,-,-
,IXPANTEPEC NIEVES,986.94,-,986.94,-,-,-
,SANTIAGO NILTEPEC, 17 667.26, 2 836.46, 7 220.11, 7 610.70,-,-
,OAXACA DE JUAREZ, 2 648.15, 1 546.23,103.53,998.4,-,-
,OCOTLAN DE MORELOS, 1 964.16,305,70.45, 1 588.71,-,-
,"PE, LA", 3 128.43, 3 128.43,-,-,-,-
,PINOTEPA DE DON LUIS, 3 648.27, 3 443.27,-,205,-,-
,PLUMA HIDALGO, 14 495.70,-,-, 14 495.70,-,-
,SAN JOSE DEL PROGRESO, 2 678.65, 2 678.65,-,-,-,-
,PUTLA VILLA DE GUERRERO, 11 672.58, 9 719.08, 1 953.50,-,-,-
,SANTA CATARINA QUIOQUITANI,709.73,-,709.73,-,-,-
,REFORMA DE PINEDA, 6 776.99, 6 240.54,-,536.45,-,-
,"REFORMA, LA", 2 461.36, 1 867.57,593.8,-,-,-
,REYES ETLA, 1 303.33,418.33,-,885,-,-
,ROJAS DE CUAUHTEMOC,261.28,92.68,-,168.6,-,-
,SALINA CRUZ, 1 505.82, 1 503.82,2,-,-,-
,SAN AGUSTIN AMATENGO, 1 076.01,528,71.01,477,-,-
,SAN AGUSTIN ATENANGO, 1 349.88,-, 1 349.88,-,-,-
,SAN AGUSTIN CHAYUCO, 5 994.00, 5 994.00,-,-,-,-
,SAN AGUSTIN DE LAS JUNTAS,338.62,300.25,6.8,31.57,-,-
,SAN AGUSTIN ETLA, 1 366.57,-,458.49,908.09,-,-
,SAN AGUSTIN LOXICHA, 9 498.42,-, 7 163.92, 2 334.50,-,-
,SAN AGUSTIN TLACOTEPEC,851.08,-,762.33,88.75,-,-
,SAN AGUSTIN YATARENI,766.05,633.11,-,132.94,-,-
,SAN ANDRES CABECERA NUEVA, 23 782.90, 1 433.56, 21 513.94,835.4,-,-
,SAN ANDRES DINICUITI,562.46,-,562.46,-,-,-
,SAN ANDRES HUAXPALTEPEC, 6 184.04,-, 6 184.04,-,-,-
,SAN ANDRES HUAYAPAM,379.52,0,250.05,129.47,-,-
,SAN ANDRES IXTLAHUACA, 2 324.57, 1 363.51,-,961.06,-,-
,SAN ANDRES LAGUNAS,444.65,-,444.65,-,-,-
,SAN ANDRES NUXI„O, 2 709.75,-, 2 709.75,-,-,-
,SAN ANDRES PAXTLAN, 1 127.50,-,-, 1 127.50,-,-
,SAN ANDRES SINAXTLA,950.25,-,43.75,906.5,-,-
,SAN ANDRES SOLAGA,564.32,-,564.32,-,-,-
,SAN ANDRES TEOTILALPAM, 9 694.60, 1 792.00, 1 976.25, 5 926.34,-,-
,SAN ANDRES TEPETLAPA,257.08,-,-,252.08,-,5
,SAN ANDRES YAA,138.95,-,138.95,-,-,-
,SAN ANDRES ZABACHE, 1 354.50,-, 1 354.50,-,-,-
,SAN ANDRES ZAUTLA, 6 555.76,190.32, 4 870.13, 1 495.31,-,-
,SAN ANTONINO CASTILLO VELASCO, 2 926.48,-,316.68, 2 609.80,-,-
,SAN ANTONINO EL ALTO,532.52,-,532.52,-,-,-
,SAN ANTONINO MONTE VERDE, 10 426.57,-, 10 426.57,-,-,-
,SAN ANTONIO ACUTLA,91.81,-,91.81,-,-,-
,SAN ANTONIO DE LA CAL,168.52,134.19,-,34.34,-,-
,SAN ANTONIO HUITEPEC, 4 496.67,-, 4 496.67,-,-,-
,SAN ANTONIO NANAHUATIPAM,733.62,527.28,111.51,94.83,-,-
,SAN ANTONIO SINICAHUA, 1 084.27,-,162.51,921.76,-,-
,SAN ANTONIO TEPETLAPA, 4 234.36, 4 234.36,-,-,-,-
,SAN BALTAZAR CHICHICAPAM,824.52,116.77,111.25,596.5,-,-
,SAN BALTAZAR LOXICHA, 2 473.50,-, 2 473.50,-,-,-
,SAN BALTAZAR YATZACHI EL BAJO,157.84,-,157.84,-,-,-
,SAN BARTOLO COYOTEPEC,692.43,230.66,-,461.77,-,-
,SAN BARTOLOME AYAUTLA, 8 017.35,285.5,-, 7 731.85,-,-
,SAN BARTOLOME LOXICHA, 3 437.00,-, 3 437.00,-,-,-
,SAN BARTOLOME QUIALANA, 2 720.77,-,68.83, 2 651.94,-,-
,SAN BARTOLOME YUCUA„E, 3 092.41,-, 1 129.43, 1 962.99,-,-
,SAN BARTOLOME ZOOGOCHO,84.27,-,84.27,-,-,-
,SAN BARTOLO SOYALTEPEC,762.13,-,762.13,-,-,-
,SAN BARTOLO YAUTEPEC,675.43,-,675.43,-,-,-
,SAN BERNARDO MIXTEPEC,654.27,-,654.27,-,-,-
,SAN BLAS ATEMPA, 9 311.86,-, 8 396.94,914.93,-,-
,SAN CARLOS YAUTEPEC, 4 122.67,201.25, 2 196.87, 1 724.55,-,-
,SAN CRISTOBAL AMATLAN, 2 185.80,-, 2 074.05,111.75,-,-
,SAN CRISTOBAL AMOLTEPEC,717.65,-,717.65,-,-,-
,SAN CRISTOBAL LACHIRIOAG,322.25,-,-,322.25,-,-
,SAN CRISTOBAL SUCHIXTLAHUACA,731.76,-,731.76,-,-,-
,SAN DIONISIO DEL MAR, 7 868.10,-, 7 868.10,-,-,-
,SAN DIONISIO OCOTEPEC, 2 815.48,456.68, 2 302.75,56.05,-,-
,SAN DIONISIO OCOTLAN,678.25,308.68,-,369.57,-,-
,SAN ESTEBAN ATATLAHUCA, 1 564.13,-, 1 564.13,-,-,-
,SAN FELIPE JALAPA DE DIAZ, 7 521.86, 5 181.21,-, 2 340.65,-,-
,SAN FELIPE TEJALAPAM, 1 411.96,281.58, 1 130.38,-,-,-
,SAN FELIPE USILA, 14 094.61, 1 437.50, 12 657.11,-,-,-
,SAN FRANCISCO CAHUACUA, 1 372.80,-, 1 372.80,-,-,-
,SAN FRANCISCO CAJONOS,281.1,-,281.1,-,-,-
,SAN FRANCISCO CHAPULAPA, 2 664.25,-, 1 065.50, 1 598.75,-,-
,SAN FRANCISCO CHINDUA,435.46,171.2,58.45,205.82,-,-
,SAN FRANCISCO DEL MAR, 9 105.27,-, 9 105.27,-,-,-
,SAN FRANCISCO HUEHUETLAN, 2 043.24,-, 2 043.24,-,-,-
,SAN FRANCISCO IXHUATAN, 7 307.10, 4 211.86,-, 3 092.24,3,-
,SAN FRANCISCO JALTEPETONGO,634.77,-,634.77,-,-,-
,SAN FRANCISCO LACHIGOLO,475.71,153.75,-,321.96,-,-
,SAN FRANCISCO LOGUECHE,861.5,-,-,861.5,-,-
,SAN FRANCISCO NUXA„O,268,-,265.5,2.5,-,-
,SAN FRANCISCO OZOLOTEPEC, 1 131.17,-,722.67,408.5,-,-
,SAN FRANCISCO SOLA,274.39,-,80.76,193.63,-,-
,SAN FRANCISCO TELIXTLAHUACA, 3 694.86,-, 3 320.94,373.91,-,-
,SAN FRANCISCO TEOPAN,248.25,-,248.25,-,-,-
,SAN FRANCISCO TLAPANCINGO,719.5,-,719.5,-,-,-
,SAN GABRIEL MIXTEPEC, 32 902.74,-, 30 467.75, 2 434.99,-,-
,SAN ILDEFONSO AMATLAN, 1 827.66,186,344.55, 1 297.11,-,-
,SAN ILDEFONSO SOLA,439.5,-,-,439.5,-,-
,SAN ILDEFONSO VILLA ALTA, 2 187.25,-,896, 1 291.25,-,-
,SAN JACINTO AMILPAS,318.34,113.09,-,205.25,-,-
,SAN JACINTO TLACOTEPEC, 1 217.75,-, 1 217.75,-,-,-
,SAN JERONIMO COATLAN, 40 139.02,-, 40 139.02,-,-,-
,SAN JERONIMO SILACAYOAPILLA, 1 235.72,-,881.33,354.39,-,-
,SAN JERONIMO SOSOLA, 4 390.43,-, 4 390.43,-,-,-
,SAN JERONIMO TAVICHE,682,362,320,-,-,-
,SAN JERONIMO TECOATL,582.34,-,-,582.34,-,-
,SAN JORGE NUCHITA, 2 875.86,891.21, 1 980.64,4,-,-
,SAN JOSE AYUQUILA,903.75,903.75,-,-,-,-
,SAN JOSE CHILTEPEC, 7 315.11, 7 117.36,-,185.39,-,12.36
,SAN JOSE DEL PE„ASCO,608.58,-,-,608.58,-,-
,SAN JOSE ESTANCIA GRANDE, 3 274.52, 3 274.52,-,-,-,-
,SAN JOSE INDEPENDENCIA, 2 309.55,-,-, 2 309.55,-,-
,SAN JOSE LACHIGUIRI,567.38,-,-,567.38,-,-
,SAN JOSE TENANGO, 17 704.74,-, 17 704.74,-,-,-
,SAN JUAN ACHIUTLA,356.34,-,189.26,167.08,-,-
,SAN JUAN ATEPEC, 9 781.02,-, 9 781.02,-,-,-
,ANIMAS TRUJANO,264.75,199.68,-,65.07,-,-
,SAN JUAN BAUTISTA ATATLAHUCA,753.11,97.98,484,153.62,-,17.5
,SAN JUAN BAUTISTA COIXTLAHUACA, 2 576.53,-, 2 576.53,-,-,-
,SAN JUAN BAUTISTA CUICATLAN, 8 963.56, 2 743.87, 1 736.93, 4 482.76,-,-
,SAN JUAN BAUTISTA GUELACHE, 1 980.39,84.61,663.1, 1 232.68,-,-
,SAN JUAN BAUTISTA JAYACATLAN, 16 260.91,-, 16 260.91,-,-,-
,SAN JUAN BAUTISTA LO DE SOTO, 4 998.80, 4 998.80,-,-,-,-
,SAN JUAN BAUTISTA SUCHITEPEC,347.5,119.5,5,223,-,-
,SAN JUAN BAUTISTA TLACOATZINTEPEC, 1 785.02,-, 1 785.02,-,-,-
,SAN JUAN BAUTISTA TLACHICHILCO,746,255,236.5,254.5,-,-
,SAN JUAN BAUTISTA TUXTEPEC, 86 417.82, 54 160.81,991.4, 31 265.62,-,-
,SAN JUAN CACAHUATEPEC, 11 184.76, 8 458.30,-, 2 726.46,-,-
,SAN JUAN CIENEGUILLA, 1 634.22,-, 1 634.22,-,-,-
,SAN JUAN COATZOSPAM, 2 895.58,-, 2 895.58,-,-,-
,SAN JUAN COLORADO, 6 008.20, 6 008.20,-,-,-,-
,SAN JUAN COMALTEPEC, 1 640.68,-, 1 640.68,-,-,-
,SAN JUAN COTZOCON, 73 836.50, 17 859.94, 25 875.70, 29 942.86,-,158
,SAN JUAN CHICOMEZUCHIL,415.3,-,415.3,-,-,-
,SAN JUAN CHILATECA,582.04,60.25,21.25,500.54,-,-
,SAN JUAN DEL ESTADO, 1 231.26,-,824.18,407.08,-,-
,SAN JUAN DEL RIO, 1 121.50,-, 1 121.50,-,-,-
,SAN JUAN DIUXI,714.95,-,714.95,-,-,-
,SAN JUAN EVANGELISTA ANALCO,265.91,-,265.91,-,-,-
,SAN JUAN GUELAVIA, 1 115.05,115.63,-,999.41,-,-
,SAN JUAN GUICHICOVI, 76 393.32, 55 349.54,-, 21 043.78,-,-
,SAN JUAN IHUALTEPEC,324.5,-,324.5,-,-,-
,SAN JUAN JUQUILA MIXES, 2 645.64,-, 2 645.64,-,-,-
,SAN JUAN JUQUILA VIJANOS,632.75,-,632.75,-,-,-
,SAN JUAN LACHAO, 4 048.00,-, 3 468.00,580,-,-
,SAN JUAN LACHIGALLA, 1 969.25, 1 029.91,726.08,213.26,-,-
,SAN JUAN LAJARCIA,480.51,-,480.51,-,-,-
,SAN JUAN LALANA, 39 822.27, 1 832.22, 37 990.05,-,-,-
,SAN JUAN DE LOS CUES, 1 151.68,-, 1 151.68,-,-,-
,SAN JUAN MAZATLAN, 74 981.91, 43 425.10, 8 170.34, 23 386.47,-,-
,SAN JUAN MIXTEPEC - DISTR. 08 -, 17 368.29,-, 17 368.29,-,-,-
,SAN JUAN MIXTEPEC - DISTR. 26 -,233.19,-,233.19,-,-,-
,SAN JUAN „UMI, 5 702.54,-, 5 702.54,-,-,-
,SAN JUAN OZOLOTEPEC, 8 234.64,-, 8 234.64,-,-,-
,SAN JUAN PETLAPA, 1 737.94,-, 1 737.94,-,-,-
,SAN JUAN QUIAHIJE, 1 500.34,-, 1 500.34,-,-,-
,SAN JUAN QUIOTEPEC, 1 218.99,78.25,740.74,400,-,-
,SAN JUAN SAYULTEPEC, 2 135.75,225,499, 1 411.75,-,-
,SAN JUAN TABAA,282.5,-,282.5,-,-,-
,SAN JUAN TAMAZOLA, 5 321.00,-, 5 321.00,-,-,-
,SAN JUAN TEITA, 2 172.69,-, 2 172.69,-,-,-
,SAN JUAN TEITIPAC, 1 077.31,6.25,30, 1 041.06,-,-
,SAN JUAN TEPEUXILA, 3 567.18,-, 1 698.56, 1 868.62,-,-
,SAN JUAN TEPOSCOLULA,835.75,-,357.25,478.5,-,-
,SAN JUAN YAE,392.29,-,392.29,-,-,-
,SAN JUAN YATZONA,222.25,-,222.25,-,-,-
,SAN JUAN YUCUITA, 1 600.29,-, 1 600.29,-,-,-
,SAN LORENZO, 3 345.61, 3 345.61,-,-,-,-
,SAN LORENZO ALBARRADAS,944.95,583.89,361.06,-,-,-
,SAN LORENZO CACAOTEPEC, 1 637.71,928.51,-,709.2,-,-
,SAN LORENZO CUAUNECUILTITLA,317.99,-,-,317.99,-,-
,SAN LORENZO TEXMELUCAN, 2 882.50,-, 2 881.00,-,-,1.5
,SAN LORENZO VICTORIA,832.21,-,832.21,-,-,-
,SAN LUCAS CAMOTLAN, 1 442.00,-, 1 442.00,-,-,-
,SAN LUCAS OJITLAN, 12 701.43, 8 295.53,-, 3 967.12,-,438.78
,SAN LUCAS QUIAVINI, 1 063.81,216.21,847.6,-,-,-
,SAN LUCAS ZOQUIAPAM, 5 874.02,-,-, 5 779.02,-,95
,SAN LUIS AMATLAN, 3 788.98,379.4,197.25, 3 212.33,-,-
,SAN MARCIAL OZOLOTEPEC, 5 006.66,-,-, 5 006.66,-,-
,SAN MARCOS ARTEAGA, 4 524.27,666.5, 3 857.77,-,-,-
,SAN MARTIN DE LOS CANSECOS,601.25,516.75,-,84.5,-,-
,SAN MARTIN HUAMELULPAM,745.7,-,745.7,-,-,-
,SAN MARTIN ITUNYOSO, 2 034.75,-, 2 034.75,-,-,-
,SAN MARTIN LACHILA, 3 399.00,-, 2 747.70,651.3,-,-
,SAN MARTIN PERAS, 8 472.97,-, 8 472.97,-,-,-
,SAN MARTIN TILCAJETE,970.5,119.41,241.5,609.59,-,-
,SAN MARTIN TOXPALAN, 1 903.80,460.79, 1 200.60,242.41,-,-
,SAN MARTIN ZACATEPEC,517.02,-,517.02,-,-,-
,SAN MATEO CAJONOS,412.5,-,412.5,-,-,-
,CAPULALPAM DE MENDEZ,435.01,-,435.01,-,-,-
,SAN MATEO DEL MAR, 3 534.93,-, 3 534.93,-,-,-
,SAN MATEO YOLOXOCHITLAN,377.26,-,-,377.26,-,-
,SAN MATEO ETLATONGO, 1 370.00,168.5,14.25, 1 187.25,-,-
,SAN MATEO NEJAPAM,322.5,-,322.5,-,-,-
,SAN MATEO PE„ASCO,374.5,-,374.5,-,-,-
,SAN MATEO PI„AS, 19 057.86,-,-, 19 057.86,-,-
,SAN MATEO RIO HONDO, 12 289.38,-,-, 12 289.38,-,-
,SAN MATEO SINDIHUI,879.85,-,879.85,-,-,-
,SAN MATEO TLAPILTEPEC,941.5,-,941.5,-,-,-
,SAN MELCHOR BETAZA, 1 057.39,-,495.89,561.5,-,-
,SAN MIGUEL ACHIUTLA, 3 872.12,-, 2 520.62, 1 351.50,-,-
,SAN MIGUEL AHUEHUETITLAN, 2 430.53,-,802.5, 1 628.03,-,-
,SAN MIGUEL ALOAPAM, 13 016.34,-, 13 016.34,-,-,-
,SAN MIGUEL AMATITLAN, 3 411.50,320.25, 3 091.25,-,-,-
,SAN MIGUEL AMATLAN, 1 508.42,-, 1 508.42,-,-,-
,SAN MIGUEL COATLAN, 2 852.50,-, 1 968.00,884.5,-,-
,SAN MIGUEL CHICAHUA,402.79,-,402.79,-,-,-
,SAN MIGUEL CHIMALAPA, 8 827.46, 1 158.50, 7 668.96,-,-,-
,SAN MIGUEL DEL PUERTO, 18 368.79,-, 6 861.68, 11 502.11,-,5
,SAN MIGUEL DEL RIO,32.75,-,-,32.75,-,-
,SAN MIGUEL EJUTLA, 1 117.06,704.31,-,412.75,-,-
,SAN MIGUEL EL GRANDE, 1 710.27,-,2.58, 1 707.69,-,-
,SAN MIGUEL HUAUTLA,702.9,-,702.9,-,-,-
,SAN MIGUEL MIXTEPEC, 1 490.66,-, 1 490.66,-,-,-
,SAN MIGUEL PANIXTLAHUACA, 3 203.30,-, 3 203.30,-,-,-
,SAN MIGUEL PERAS, 2 005.26,-, 2 005.26,-,-,-
,SAN MIGUEL PIEDRAS,420.75,-,420.75,-,-,-
,SAN MIGUEL QUETZALTEPEC, 1 660.64,-, 1 660.64,-,-,-
,SAN MIGUEL SANTA FLOR,403.25,-,403.25,-,-,-
,VILLA SOLA DE VEGA, 5 632.27,-, 4 218.05, 1 414.22,-,-
,NUEVO SOYALTEPEC, 19 173.11, 17 757.27,-,389.83,793.36,232.65
,SAN MIGUEL SUCHIXTEPEC, 6 165.00,-,-, 6 165.00,-,-
,SAN MIGUEL TALEA DE CASTRO, 1 443.65,-, 1 085.65,358,-,-
,SAN MIGUEL TECOMATLAN, 1 162.00,-, 1 162.00,-,-,-
,SAN MIGUEL TENANGO,476.36,-,476.36,-,-,-
,SAN MIGUEL TEQUIXTEPEC,480.75,-,480.75,-,-,-
,SAN MIGUEL TILQUIAPAM,799.65,528.1,271.56,-,-,-
,SAN MIGUEL TLACAMAMA, 16 523.51, 5 668.67, 8 724.84, 2 130.00,-,-
,SAN MIGUEL TLACOTEPEC, 5 356.32,-, 5 356.32,-,-,-
,SAN MIGUEL TULANCINGO,210.34,-,210.34,-,-,-
,SAN MIGUEL YOTAO,298.53,-,298.53,-,-,-
,SAN NICOLAS,435,-,-,435,-,-
,SAN NICOLAS HIDALGO,568.85,539.85,27,2,-,-
,SAN PABLO COATLAN, 2 803.25,-, 2 803.25,-,-,-
,SAN PABLO CUATRO VENADOS,581.01,-,581.01,-,-,-
,SAN PABLO ETLA, 2 451.42,384.79,27.68, 2 038.95,-,-
,SAN PABLO HUITZO, 1 539.29,-,720.11,819.18,-,-
,SAN PABLO HUIXTEPEC, 4 966.40, 1 308.06,36, 3 622.34,-,-
,SAN PABLO MACUILTIANGUIS,467.65,-,467.65,-,-,-
,SAN PABLO TIJALTEPEC, 1 526.55,-, 1 526.55,-,-,-
,SAN PABLO VILLA DE MITLA, 2 397.41,766.38,404.46, 1 225.57,-,1
,SAN PABLO YAGANIZA,322.26,-,322.26,-,-,-
,SAN PEDRO AMUZGOS, 5 903.76, 5 903.76,-,-,-,-
,SAN PEDRO APOSTOL, 3 770.52, 1 458.20,-, 2 312.32,-,-
,SAN PEDRO ATOYAC, 2 082.98, 2 082.98,-,-,-,-
,SAN PEDRO CAJONOS,533.23,-,533.23,-,-,-
,SAN PEDRO CANTAROS COXCALTEPEC,439.95,-,439.95,-,-,-
,SAN PEDRO COMITANCILLO, 4 656.45, 4 501.45,-,-,-,155
,SAN PEDRO EL ALTO, 3 817.51,-, 3 817.51,-,-,-
,SAN PEDRO HUAMELULA, 7 151.44,667.41, 6 484.03,-,-,-
,SAN PEDRO HUILOTEPEC, 1 130.73,-, 1 130.73,-,-,-
,SAN PEDRO IXCATLAN, 3 348.22,936.51,-, 2 119.46,-,292.25
,SAN PEDRO IXTLAHUACA, 1 988.42, 1 137.69,-,850.73,-,-
,SAN PEDRO JALTEPETONGO,994.5,-,994.5,-,-,-
,SAN PEDRO JICAYAN, 4 559.22, 4 559.22,-,-,-,-
,SAN PEDRO JOCOTIPAC,967.75,-,967.75,-,-,-
,SAN PEDRO JUCHATENGO,317.91,-,287.56,30.35,-,-
,SAN PEDRO MARTIR,593.87,419.75,-,174.12,-,-
,SAN PEDRO MARTIR QUIECHAPA,743.17,-,743.17,-,-,-
,SAN PEDRO MARTIR YUCUXACO,704.63,-,416.43,288.2,-,-
,SAN PEDRO MIXTEPEC - DISTR. 22 -, 15 093.24,-, 15 093.24,-,-,-
,SAN PEDRO MIXTEPEC - DISTR. 26 -,309.09,-,309.09,-,-,-
,SAN PEDRO MOLINOS,606.6,-,164.1,442.49,-,-
,SAN PEDRO NOPALA,564.33,-,564.33,-,-,-
,SAN PEDRO OCOPETATILLO,447.08,-,447.08,-,-,-
,SAN PEDRO OCOTEPEC,798.5,-,798.5,-,-,-
,SAN PEDRO POCHUTLA, 18 384.47,-, 18 384.47,-,-,-
,SAN PEDRO QUIATONI, 3 730.33,-, 3 730.33,-,-,-
,SAN PEDRO SOCHIAPAM, 6 363.40,551.28, 4 663.12, 1 149.00,-,-
,SAN PEDRO TAPANATEPEC, 34 527.56, 10 636.05,-, 23 891.51,-,-
,SAN PEDRO TAVICHE,782.32,65.75,548.32,168.25,-,-
,SAN PEDRO TEOZACOALCO,417.5,-,417.5,-,-,-
,SAN PEDRO TEUTILA, 6 134.25, 3 388.00,-, 2 746.25,-,-
,SAN PEDRO TIDAA,285.06,-,285.06,-,-,-
,SAN PEDRO TOPILTEPEC,804.51,-,802.51,-,-,2
,SAN PEDRO TOTOLAPA,612.73,223.14,389.6,-,-,-
,SAN PEDRO TUTUTEPEC, 42 545.30,-, 42 268.26,33,4.04,240
,SAN PEDRO YANERI,583.23,-,583.23,-,-,-
,SAN PEDRO YOLOX, 1 419.08,154, 1 147.71,117.38,-,-
,SAN PEDRO Y SAN PABLO AYUTLA, 4 457.28,-, 4 456.28,1,-,-
,VILLA DE ETLA, 1 946.88,60.57,-, 1 886.31,-,-
,SAN PEDRO Y SAN PABLO TEPOSCOLULA, 1 120.57,-,472.24,648.33,-,-
,SAN PEDRO Y SAN PABLO TEQUIXTEPEC, 1 515.13,10.58, 1 493.05,11.5,-,-
,SAN PEDRO YUCUNAMA,145.45,-,145.45,-,-,-
,SAN RAYMUNDO JALPAN,558.07,226.58,-,331.49,-,-
,SAN SEBASTIAN ABASOLO,697.44,321.62,-,375.82,-,-
,SAN SEBASTIAN COATLAN, 3 398.00,-, 3 398.00,-,-,-
,SAN SEBASTIAN IXCAPA, 7 704.21, 6 268.07, 1 436.14,-,-,-
,SAN SEBASTIAN NICANANDUTA, 1 063.75,-, 1 063.75,-,-,-
,SAN SEBASTIAN RIO HONDO, 1 765.75,706.38,-, 1 059.37,-,-
,SAN SEBASTIAN TECOMAXTLAHUACA, 9 559.47,-, 9 559.47,-,-,-
,SAN SEBASTIAN TEITIPAC,499.62,48.9,447.72,3,-,-
,SAN SEBASTIAN TUTLA,203.01,81.25,-,121.76,-,-
,SAN SIMON ALMOLONGAS,773.05,-,62.25,710.8,-,-
,SAN SIMON ZAHUATLAN,419.5,-,419.5,-,-,-
,SANTA ANA, 4 024.66, 1 122.79, 1 892.28, 1 009.60,-,-
,SANTA ANA ATEIXTLAHUACA,433,-,-,433,-,-
,SANTA ANA CUAUHTEMOC, 1 442.75,-, 1 442.75,-,-,-
,SANTA ANA DEL VALLE,593.09,-,593.09,-,-,-
,SANTA ANA TAVELA, 1 259.23,-, 1 259.23,-,-,-
,SANTA ANA TLAPACOYAN, 1 705.52,-,142.01, 1 563.51,-,-
,SANTA ANA YARENI,593.8,-,593.8,-,-,-
,SANTA ANA ZEGACHE, 1 608.78,-,63.25, 1 545.53,-,-
,SANTA CATALINA QUIERI,422.71,-,422.71,-,-,-
,SANTA CATARINA CUIXTLA,631.45,-,297.21,334.24,-,-
,SANTA CATARINA IXTEPEJI, 2 247.79,-, 2 247.79,-,-,-
