"SUPERFICIE DE UNIDADES DE PRODUCCIîN RURALES, SEGòN RƒGIMEN",,,,,,,CUADRO 5
"DE TENENCIA DE LA TIERRA, POR ENTIDAD Y MUNICIPIO",,,,,,,
,,,,,,,
ENTIDAD Y  MUNICIPIO,, SUPERFICIE TOTAL  (HA) ,  TENENCIA DE LA TIERRA,,,,
,,,EJIDAL  (HA), COMUNAL  (HA),PRIVADA  (HA) ,  COLONIA (HA) , PUBLICA  (HA)
,,,,,,,
,,,,,,,
,ZINACANTAN, 10 309.06, 3 129.58, 5 043.81, 2 078.67,-,57
,SAN JUAN CANCUC, 3 366.27,-, 3 117.02,249.25,-,-
CHIHUAHUA,,17 751 220.62,4 321 211.52, 238 570.73,12 568 279.66, 572 918.12, 50 240.60
,AHUMADA,1 246 096.26, 51 430.73,106,1 122 147.53, 72 412.00,-
,ALDAMA, 724 598.36, 34 096.30,148.1, 642 196.06, 45 531.90, 2 626.00
,ALLENDE, 142 669.76, 10 094.88,12.51, 127 199.55, 5 352.82,10
,AQUILES SERDAN, 33 169.63, 2 790.46,-, 30 339.17,40,-
,ASCENSION, 998 252.46, 335 010.60,-, 639 780.01, 23 460.85,1
,BACHINIVA, 59 733.93, 16 616.65,-, 43 019.48,53,44.8
,BALLEZA, 249 870.88, 98 401.67,925.27, 150 534.94,9,-
,BATOPILAS, 91 706.59, 63 183.48, 1 679.96, 26 843.16,-,-
,BOCOYNA, 235 385.53, 203 719.50, 20 893.58, 10 770.44,-,2
,BUENAVENTURA, 867 295.26, 294 351.83,126, 522 749.34, 50 051.10,17
,CAMARGO,1 346 143.28, 66 138.60, 1 204.14,1 278 558.72,-,241.81
,CARICHI, 55 719.56, 11 418.41,62, 40 472.94, 3 762.20,4
,CASAS GRANDES, 424 226.38, 210 542.92,110, 213 389.96,102,81.5
,CORONADO, 191 823.95, 2 116.00,-, 166 963.09, 10 675.86, 12 069.00
,COYAME, 911 088.38, 5 148.05,-, 905 719.33,221,-
,"CRUZ, LA", 68 200.98, 3 273.95,-, 64 911.16,1.52,14.35
,CUAUHTEMOC, 266 300.51, 31 133.04,40.66, 211 940.69, 22 974.07,212.05
,CUSIHUIRIACHI, 83 895.07, 13 899.96,162.81, 68 053.27, 1 574.02,205
,CHIHUAHUA, 558 555.41, 97 776.53, 2 128.50, 425 276.57, 32 786.31,587.5
,CHINIPAS, 85 448.12, 11 985.92, 4 024.89, 69 437.31,-,-
,DELICIAS, 33 142.33, 2 472.19,140.3, 27 717.35, 2 535.33,277.16
,DOCTOR BELISARIO DOMINGUEZ, 25 870.57, 6 617.54,420.26, 18 805.77,2,25
,GALEANA, 155 873.69, 97 801.73,-, 57 971.96,100,-
,GENERAL TRIAS, 38 076.79, 9 207.08,65.01, 28 791.69,10,3
,GOMEZ FARIAS, 55 063.90, 18 481.00,-, 17 373.03, 19 209.87,-
,GRAN MORELOS, 23 022.96, 7 450.77,157.5, 15 414.69,-,-
,GUACHOCHI, 456 447.07, 386 265.01,108.69, 70 052.37,21,-
,GUADALUPE, 486 700.58, 6 657.31,-, 463 575.76, 16 467.51,-
,GUADALUPE Y CALVO, 686 273.08, 559 091.66, 42 577.75, 84 224.93,-,378.73
,GUAZAPARES, 101 099.37, 16 070.59, 7 452.42, 75 916.37, 1 660.00,-
,GUERRERO, 253 839.53, 67 975.33,558.55, 184 976.93,257.72,71
,HIDALGO DEL PARRAL, 159 226.19, 2 265.14, 1 645.00, 155 084.06,-,232
,HUEJOTITAN, 28 063.73, 2 484.67,-, 25 575.06,-,4
,IGNACIO ZARAGOZA, 111 459.30, 20 225.01,-, 88 539.78, 2 690.51,4
,JANOS, 594 115.10, 215 229.12,3.5, 364 282.40, 14 600.08,-
,JIMENEZ, 824 252.79, 124 471.81, 12 351.53, 674 103.12, 6 598.83, 6 727.50
,JUAREZ, 195 232.62, 33 126.65,-, 161 453.96,15,637
,JULIMES, 386 216.07, 58 675.94,-, 292 673.36, 34 741.31,125.48
,LOPEZ, 73 422.61, 4 788.33,-, 58 445.78, 9 711.50,477
,MADERA, 723 037.97, 483 650.27,77.5, 168 799.51, 66 311.31, 4 199.37
,MAGUARICHI, 41 155.36, 18 889.00,20, 22 246.36,-,-
,MANUEL BENAVIDES, 258 250.38, 2 940.81,-, 255 309.57,-,-
,MATACHI, 30 378.34, 3 248.75,-, 20 219.28, 6 910.30,-
,MATAMOROS, 73 584.84, 4 520.68,74, 68 990.16,-,-
,MEOQUI, 31 977.63, 6 687.08,-, 24 830.51,396.19,63.85
,MORELOS, 101 817.03, 2 593.00,717.53, 86 173.40, 11 560.83,772.27
,MORIS, 180 138.64, 30 448.00, 8 674.55, 136 767.56, 4 248.54,-
,NAMIQUIPA, 359 839.98, 83 463.29,151, 247 538.53, 17 238.66, 11 448.50
,NONOAVA, 120 085.05,906.75, 21 232.39, 97 539.90,406,-
,NUEVO CASAS GRANDES, 153 877.62, 5 095.11,-, 142 198.29, 6 584.22,-
,OCAMPO, 170 545.64, 102 756.17, 14 305.20, 53 484.27,-,-
,OJINAGA, 403 723.83, 10 526.87,809, 387 404.16, 2 532.80, 2 451.00
,PRAXEDIS G. GUERRERO, 13 734.37, 7 916.78,13, 5 683.79,-,120.8
,RIVA PALACIO, 169 285.40, 8 993.42, 1 236.07, 97 960.94, 61 093.48,1.5
,ROSALES, 125 800.67, 17 670.53,6, 106 916.15,973.51,234.48
,ROSARIO, 73 870.51, 4 070.88,424, 69 342.72,32.91,-
,SAN FRANCISCO DE BORJA, 130 221.69, 14 724.17, 4 126.06, 111 363.13,-,8.33
,SAN FRANCISCO DE CONCHOS, 68 129.75, 21 944.81,-, 46 172.13,8.09,4.72
,SAN FRANCISCO DEL ORO, 13 102.60, 1 536.69,-, 11 562.91,-,3
,SANTA BARBARA, 24 267.64, 1 958.30,16.02, 19 409.76, 2 817.00,66.56
,SATEVO, 250 558.17, 41 757.66, 1 677.78, 193 471.78, 9 564.26, 4 086.70
,SAUCILLO, 132 045.73, 12 144.22,41.3, 118 274.16,615.42,970.63
,TEMOSACHI, 358 267.00, 87 531.28, 86 743.32, 179 952.40, 3 650.00,390
,"TULE, EL", 28 109.76, 3 452.49,175.73, 24 475.54,-,6
,URIQUE, 78 069.80, 63 571.04,10.5, 14 488.26,-,-
,URUACHI, 115 982.76, 64 815.21,891.46, 50 276.09,-,-
,VALLE DE ZARAGOZA, 193 783.94, 10 911.92,43.39, 182 147.32,346.3,335
DISTRITO FEDERAL,, 24 100.40, 6 411.96, 7 364.55, 10 220.50,-,103.4
,COYOACAN,1.37,-,-,1.37,-,-
,CUAJIMALPA DE MORELOS,468.01,66.99,111.89,289.13,-,-
,GUSTAVO A. MADERO,91.17,-,63.56,-,-,27.61
,IZTAPALAPA,6.8,-,-,6.8,-,-
,"MAGDALENA CONTRERAS, LA",756.24,592.53,66.94,96.77,-,-
,MILPA ALTA, 7 847.81,844.07, 2 761.34, 4 171.51,-,70.89
,ALVARO OBREGON,324.6,30.06,122.71,171.83,-,-
